name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
Arizona Inn - Dining Room,4.5,"2200 E. Elm Street Tucson, AZ  85719 ",88,Contemporary French / American,$31 to $50,Tucson,http://www.arizonainn.com,dining@arizonainn.com,(520) 325-1541,4.5 / 5,"It was in my wife's 85th birthday anniversary, and we appreciated the nice touch of a complimentary dessert. We also liked the considerate manner of our server. It wasn't AZInn's fault tat the next table was loud.",07/19/2012
Armitage Bistro,3.4,"20751 N. Pima Road Suite 120 Scottsdale, AZ  85255",13,Contemporary American,$30 and under,Scottsdale,http://www.armitagewine.com,armitage@armitagewine.com,(480) 502-1641,3.4 / 5,Service was great. We shared a bunch of appetisers during happy hour and loved all of them!,06/29/2012
Armitage Wine Lounge & Cafe,4.3,"2905 E. Skyline Drive Suite 168 Tucson, AZ  85718",20,Contemporary American,$30 and under,Tucson,http://www.armitagewine.com,armitagetucson@armitagewine.com,(520) 682-9740,4.3 / 5,"We tried several dishes the Halibut, Beef Medallions, Lamb, and Chicken. All dishes tasted very good.",06/16/2012
Arrivederci Ristorante,4.4,"7101 E. Thunderbird Rd. Scottsdale, AZ  85254 ",50,Italian,$30 and under,Scottsdale,http://www.azitaly.com/,azitaly@gmail.com,(480) 922-8225,4.4 / 5,"Excellent service. The food is always good there, portions just right.",07/14/2012
Arrivederci Trattoria,3.9,"4221 E. Chandler Blvd #102 Phoenix, AZ  85048",17,Italian,$30 and under,Phoenix,http://www.azitaly.com/ahwatukee/,maxsahin@hotmail.com,(480) 759-9292,3.8 / 5,"Outstanding food with very good service. Came an hour before close and staff was pleasant and attentive. Wine list was quite good, with prices reflective of that quality. In fact, all prices here are h higher than you may be expecting. The food is worth it.",07/08/2012
The Arrogant Butcher,4.1,"2 E. Jefferson Street Phoenix, AZ  85004 ",178,American,$30 and under,Phoenix,http://foxrc.com/the_arrogant_butcher.html,tab@foxrc.net,(602) 324-8502,4.1 / 5,"The food was very good, and prepared correctly. The restaurant was very loud, which made conversation difficult at times.",07/17/2012
Arrowhead Grill,4.6,"8280 West Union Hills Road Suite 110 Glendale, AZ  85308",187,Steakhouse,$31 to $50,Glendale / Peoria,http://www.ArrowheadGrill.com,info@ArrowheadGrill.com,(623) 566-2224,4.6 / 5,"Very romantic atmosphere with mellow music. The decor is soothing, the food is gourmet,and the service was very attentive and professional.",07/18/2012
Athena Greek Cuisine,4.3,"7000 E.Mayo Blvd #26 Phoenix, AZ  85054 ",45,Greek,$30 and under,Phoenix,http://www.AthenaGreekCuisine.com,Info@athenagreekcuisine.com,(480) 502-4466,4.3 / 5,Very friendly reception. Waiter was very helpful and informative.,07/11/2012
Au Petit Four,3.3,"7217 East 4th Avenue Scottsdale, AZ  85251 ",6,French,$30 and under,Scottsdale,http://www.aupetitfour.com,aupetitfouraz@aol.com,(480) 946-3834,3.3 / 5,"The food is simple, classic French cuisine. The quality is very good, and the service personable. A good place in Scottsdale to go for something different. The pastries are delicious!",06/29/2012
Avanti,4.3,"2728 East Thomas Rd. Phoenix, AZ  85016 ",64,Italian,$31 to $50,Phoenix,http://www.avanti-az.com,ellen.m1@cox.net,(602) 956-0900,4.3 / 5,Avanti's has been a noticeable part of the Phoenix Restaurant scene for as long as we can remember. One of our favorite special spots years ago we had not had much contact withAvanti for some years. Still a class place with menu selections and quality that is among the best you can find.,07/18/2012
Azul Restaurant and Lounge,3.8,"3800 E. Sunrise Drive Tucson, AZ  85718 ",44,Mediterranean,$30 and under,Tucson,http://www.azullapaloma.com  ,info@azullapaloma.com,(520) 742-6000 x7020,3.8 / 5,"What I love is that Azul is always consistent never lets you down. You always get the best, great service, great food, friendly people. Love going there. Wish it was closer to Sahuarita.",07/19/2012
Bamboo Club - Scottsdale,4.2,"8624 E. Shea Blvd. Scottsdale, AZ  85260 ",50,Asian,$30 and under,Scottsdale,http://www.bambooscottsdale.com,dereck@bambooscottsdale.com,(480) 998-1287,4.2 / 5,The Bamboo Club offers very good food at a very reasonable price. Great neighborhood restaurant.,07/05/2012
Beckett's Table,4.5,"3717 E. Indian School Rd. Phoenix, AZ  85018 ",305,American,$30 and under,Phoenix,http://www.BeckettsTable.com,chefbeckett@me.com,(602) 954-1700,4.5 / 5,"Excellent experience however they seemed to be ""out"" of a fair amount of key items on the menu. After our server rattled of 4-5 items that we could not order, I chose the green chile pork stew...and was told after my order that they were out of Corn bread...a key component of their ""Homestyle food"". We dined at 7:30 on a Saturday. Not 9pm.",07/20/2012
Bella Luna - Goodyear,3.7,"14175 West Indian School Rd. Goodyear, AZ  85395 ",10,Italian,$30 and under,Litchfield Park,http://www.bellalunaaz.com,sbillelo@gmail.com,(623) 535-4642,3.7 / 5,The meal was mediocre at best but the service decent.,05/25/2012
Benihana - Chandler,4.3,"3025 W Chandler Blvd Chandler, AZ  85226-5220 ",92,Japanese,$30 and under,Chandler,http://www.benihana.com/locations/chandler-az-cd,chandler@benihana.com,(480) 812-4701,4.3 / 5,"My boyfriend and I have a tradition of going to Benihana together on our birthdays. The restaurant never disappoints. The food and service are excellent and Benihana is the perfect place for an intimate dinner with your loved ones. Also, I hadn't previously thought of it, but there was a group across from us with a 5 year old. Benihana is also the perfect place to take children; they offer a kids menu and the showmanship of the chef is sure to amaze!",07/18/2012
Benihana - Scottsdale,4.2,"16403 N Scottsdale Rd Scottsdale, AZ  85254 ",83,Japanese,$30 and under,Scottsdale,http://www.benihana.com/locations/scottsdale-az-so,scottsdale@benihana.com,(480) 444-0068,4.2 / 5,"Overall very nice experience. The chain has become the place to go for special occasions and groups. I would recommend when making reservations to requst a seating without children. For our dining almost all tables had children, which can impact the experience.",07/18/2012
Betty's Nosh,3.9,"6685 W. Beardsley #180 Glendale, AZ  85308 ",89,American,$30 and under,Glendale / Peoria,http://www.bettysnosh.com,cathie@bettysnosh.com,(623) 561-6674,3.8 / 5,Grilled cheese was supposed to have four kinds of cheese - it had 3x american cheese and Gouda... Reminded me of Denny's.,07/15/2012
Binkley's Restaurant,4.8,"6920 E. Cave Creek Rd. Cave Creek, AZ  85331 ",148,Contemporary American,$50 and over,Phoenix,http://binkleysrestaurant.com,"",(480) 437-1072,4.8 / 5,I enjoyed talking to the staff and the chef.,06/19/2012
Bistro 24 at the Ritz-Carlton Phoenix,4.3,"2401 East Camelback Road Phoenix, AZ  85016 ",12,Contemporary American,$31 to $50,Phoenix,http://www.ritzcarlton.com/en/Properties/Phoenix/Dining/Bistro24/Default.htm,"",(602) 952-2424,4.4 / 5,truly enjoyed my dad's dining with my children.Well done Chef Harris!!!! And servers Vicki & Dannon!!!,06/17/2012
Black Angus Steakhouse - Arrowhead,4.2,"7606 W. Bell Rd. Glendale, AZ  85308 ",94,Steakhouse,$30 and under,Glendale / Peoria,http://www.blackangus.com,ba1099@blackangus.com,(623) 878-6200,4.2 / 5,We were visiting and had a great experience.,07/14/2012
Black Angus Steakhouse - Chandler,4.1,"2770 W. Chandler Blvd. Chandler, AZ  85224 ",74,Steakhouse,$30 and under,Chandler,http://www.blackangus.com,ba1128@blackangus.com,(480) 855-9449,4.1 / 5,once again we were not disappointed,07/11/2012
Black Angus Steakhouse - Goodyear,4.3,"13766 W McDowell Rd Goodyear, AZ  85395 ",69,Steakhouse,$30 and under,Goodyear,http://www.blackangus.com,ba1124@blackangus.com,(623) 535-8585,4.3 / 5,"We took my 9 year old for his birthday to Black Angus, Goodyear, As always, our server Roy was excellent. Everyone from the hostess, to the manager and bus boy were all friendly. Enjoyed it very much. I'm sure we will be back for the next birthday celebration!",07/18/2012
Black Angus Steakhouse - Phoenix Metro,4.1,"10021 Metro Parkway E. Phoenix, AZ  85051 ",39,Steakhouse,$30 and under,Phoenix,http://www.blackangus.com,ba1028@blackangus.com,(602) 944-1517,4.1 / 5,Food was prepared as ordered and served promptly. Tasted good. Coffee was excellent.,06/22/2012
Black Angus Steakhouse - Superstition,4.2,"6902 E. Hampton Avenue Mesa, AZ  85209 ",61,Steakhouse,$30 and under,Mesa,http://www.blackangus.com,ba1109@blackangus.com,(480) 830-6900,4.1 / 5,"The food was excellent, the waiter was not real welcoming and friendly, she asked us if we needed anything and when my husband asked for steak sauce she never returned it. it doesn't matter we like the restaurant and we will return. thank you this is the second time we have had this same waitress and she was not friendly last time either. thank you",06/23/2012
Black Chile Mexican Grill,4.2,"2502 E. Camelback Rd. Phoenix, AZ  85016 ",50,Mexican,$30 and under,Phoenix,http://www.blackchile.com,Biltmore@blackchile.com,(602) 955-5593,4.2 / 5,Interesting menu - definitely a cut above the typical Mexican restaurant. Great margaritas!,07/20/2012
"BLT Steak at Camelback Inn, A JW Marriott Resort",4.5,"5402 East Lincoln Drive Scottsdale, AZ  85253 ",120,Steakhouse,$31 to $50,Scottsdale,http://www.bltrestaurants.com,info@bltsteakscottsdale.com,(480) 905-7979,4.5 / 5,"we have been to BLT a few times, but this was the first thru open table, we love BLT, our experience has been wonderful, the people that serve you are very nice, we will go back many times.",07/20/2012
Blue Adobe Grille,4.1,"10885 N. Frank Lloyd Wright Blvd. Scottsdale, AZ  85259 ",56,Southwest,$30 and under,Scottsdale,http://www.blueadobegrille.com,michael@blueadobegrille.com,(480) 314-0550,4.1 / 5,"Loved the food and live music, perfect night.",07/14/2012
Blue Hound Kitchen & Cocktails,3.9,"2 East Jefferson Street Phoenix, AZ  85004 ",35,American,$30 and under,Phoenix,http://www.hotelpalomar-phoenix.com/cityscape-restaurants/index.html,derek.lewis@bluehoundkitchen.com,(602) 258-0231,3.9 / 5,"I was in Phoenix on business and this is exactly the kind of place I like to seek out when I travel. The space is modern with clean lines and generally dark colors, but not over the top. Our waiter was knowledgeable and attentive and didn't try to steer us in any particular direction on food choices. My friend and I shared several small plates and absolutely everything was perfectly prepared without being over the top. The pork belly sopes were a particular favorite of mine, but kudos to the kitchen on prepping perfect roasted asparagus-- harder than it sounds. The bar didn't disappoint either, with nicely prepared, well-balanced cocktails. Mixology is fashionable again, thankfully, and this bar knows how to do it right.",06/14/2012
Blue Sage @ JW Marriott Desert Ridge Resort & Spa,3.7,"5350 East Marriott Drive Phoenix, AZ  85054 ",25,American,$30 and under,Phoenix,http://www.jwdesertridgeresort.com,"",(480) 293-3636,3.7 / 5,"The hotel is gorgeous as you walk in, but the restaurant looks cheap and not suitable for a 5 star resort.Service was ok, not Marriott standards service, by no means. We saw one of the servers asking a guest many times to remove her luggage, so he could clean around her. He actually moved one of her tables so he could clean the floor. In a 5 star hotel that doesn't happen.The hostess sat a table right behind us and it was so tight. One of the guests was on a wheelchair and she got no help, but not only that, we could hardly move when they all sat down. Most tables in the restaurant were empty.I chose this resort as it was my birthday and I wanted to celebrate in a nice place, but I was disappointed as I always expect more from Marri",07/15/2012
Bluefin Seafood Bistro,4.3,"7053 North Oracle Rd Tucson, AZ  85704 ",132,Seafood,$30 and under,Tucson,http://WWW.BLUEFINtucson.COM,JMTBLUEFIN@AOL.COM,(520) 531-8500,4.3 / 5,"The food was excellent. To of us had lobsters which were perfectly cooked. one of us had ruby trout(Great) and the other had sea bass(well cooked).All in all a lovely dinner. We live in Green Valley, so the food had to be cooked forus to travel about 25 miles.",07/19/2012
Bluewater Grill - Phoenix,4.0,"1720 E. Camelback Rd Phoenix, AZ  85016 ",88,Seafood,$30 and under,Phoenix,http://www.bluewatergrill.com/locations/phoenix.php,Phx@bluewatergrill.com,(602) 277-3474,4 / 5,"Only my second time here, but came back because we really liked the food. Fish easy on the spices, can actually taste the fish. Waitress was knowledgeable and helpful. Could have a better white wine selection since they have so many seafood options. I'll be back.",07/13/2012
Bobby's Restaurant and Jazz Lounge,4.0,"7122 E. Greenway Pkwy. Scottsdale, AZ  85254 ",90,Contemporary American,$31 to $50,Scottsdale,http://www.mancusosrestaurant.com,bobbys@mancusosrestaurant.com,(480) 556-0770,4 / 5,Theres is a bar and dark lighting upstairs live jazz playing (soft dinner type of jazz) Music starts at 6pm during the week which is a nice change. Most jazz venues begin music much later. Very bright and airy downstairs - You have your choice. Awesome artwork on the walls. Best blackened salmon I have had in awhile. Nice wine list and full bar. We went during the week for our anniversary and the waiter came out at the end of our meal with a beautiful piece of cheesecake with a candle in it. Delicious AND It was on the house! A very nice touch from a very attentive waiter. We will definitely eat there again!,07/18/2012
Bob's Steak and Chop House - Omni Tucson National Resort,4.2,"2727 West Club Drive Tucson, AZ  85742 ",27,Steakhouse,$31 to $50,Tucson,http://www.bobs-steakandchop.com/tucson.html,abravo@omnihotels.com,(520) 877-2377,4.1 / 5,"Very nice restaurant, though it was uncomfortably hot, with the exception of the entry hall which was very well air conditioned. The food was great, though the cook needs to be informed of the difference between medium rare and well done.",07/07/2012
Bogey's Steak & Seafood,4.3,"7555 E. Eagle Crest Dr. Mesa, AZ  85207 ",13,Steak,$30 and under,Phoenix,http://www.lassendas.com/Bogeys.html,dshaw@lassendas.com,(480) 396-4000 x202,4.3 / 5,We ate there the last few days before a scheduled renovation. They had all of their menu items available on their standard menu but there was still enough choices. The food was excellent and the service was friendly and efficient.I can't wait for them to reopen.,07/05/2012
Bombay Spice Phoenix,4.0,"10810 N. Tatum Blvd Phoenix, AZ  85028 ",16,Indian,$30 and under,Phoenix,http://www.bombayspice.com/,info@bombayspice.com,(602) 795-0020,4 / 5,"I'm not qualified to comment on the authenticity of the food, but I will certainly vouch for the great taste. From the appetizers through the desserts, everything was excellent.",07/06/2012
Bourbon Steak at The Fairmont Scottsdale Princess,4.1,"7575 E. Princess Drive Scottsdale, AZ  85255 ",43,American,$31 to $50,Scottsdale,http://michaelmina.net/restaurants/locations/bsaz.php,anibal.macias@fairmont.com,(480) 513-6002,4.1 / 5,"Although we enjoyed the experience, we found it stuffy and overpriced.",07/11/2012
Brazilian Bull,3.6,"4909 East Chandler Blvd. Phoenix, AZ  85048 ",65,Brazilian Steakhouse,$30 and under,Phoenix,http://www.brazilianbullsteakhouse.com,Brazilianbullsteakhouse@gmail.com,(480) 783-6060,3.6 / 5,"The food and the ambiance are great! We go back there whenever my fiance and I want to treat ourselves or their is a special occasion, this time we were celebrating his birthday. This visit we were surprised with a lunch deal, buy one traditional meal and get the second half off. We were thrilled about this until we got the bill and saw we were paying $7 for two Iced Teas, we drink iced tea every where we go and $3.50 for tea is going overboard.We can get better and cheaper tea at Starbucks, next time I will be sticking with water.",07/18/2012
The Breadfruit,4.1,"108 E. Pierce St. Phoenix, AZ  85004 ",67,Caribbean,$31 to $50,Phoenix,http://www.TheBreadfruit.com,info@thebreadfruit.com,(602) 267-1266,4 / 5,"We'd heard about this place, and looked forward to dinner. It's a gem! If you like food with tantalizing flavors, go here! The service was attentive and the atmosphere was energetic. There seems to be plenty for herbivores and carnivores to enjoy. We had vegetarian dishes - egg rolls, curry tofu, and sweet potato cake. I'm not a dessert person, but you gotta try the cake. The ribs and chicken dishes looked amazing! When we looked around, only emply plates were going back to the kitchen. Excellent rum choices! We look forward to going back.",07/07/2012
Brittlebush Bar & Grill at The Westin Kierland Resort,4.7,"15636 North Clubgate Dr. Scottsdale, AZ  85254 ",6,Gastro Pub,$30 and under,Scottsdale,http://www.kierlandresort.com,info@kierlandresort.com,(480) 624-1202,4.2 / 5,The Beer dinner series is a fabulous deal and Chef Graham and his staff always does a terrific job pairing delicious food with the beer from each brewery. We love the beer series.,02/18/2012
Brix Restaurant and Wine Bar,4.5,"413 N. San Francisco St. Flagstaff, AZ  86001 ",102,Contemporary American,$31 to $50,Flagstaff,http://www.brixflagstaff.com,info@brixflagstaff.com,(928) 213-1021,4.5 / 5,Food was positively fresh and outstanding. Highly recommended.,07/13/2012
Buca di Beppo - Arrowhead,4.1,"16091 North Arrowhead Fountains Center Peoria, AZ  85382 ",81,Italian,$30 and under,Peoria,http://www.bucadibeppo.com,arrowhead@bucadibeppo.com,(623) 412-9463,4.1 / 5,The service was not that great. The waiting staff was rude and disrespectful. One couple from my table got their food about 10 minutes ahead of every one else. The lasagna was dry and hard. It was just an overall unpleasant experience,07/13/2012
Buca di Beppo - Chandler,4.3,"7111 West Ray Road Chandler, AZ  85226 ",55,Italian,$30 and under,Chandler,http://www.bucadibeppo.com,chandler@bucadibeppo.com,(480) 785-7272,4.3 / 5,"This was our first visit to Buca, and after the experience we had, it will not be our last! Our server was very knowledgeable, friendly and checked on us frequently. Our food was delicious and brought out fast. This was a huge plus for us because we have a 9 month old and the fast service ensured we were able to enjoy our dinner. Thank you and you will definitely see us again!!",07/14/2012
Buca di Beppo - Mesa,4.3,"1730 South Val Vista Drive Mesa, AZ  85204 ",82,Italian,$30 and under,Mesa,http://www.bucadibeppo.com,mesa@bucadibeppo.com,(480) 507-9463,4.3 / 5,We had a group of four adults and one child. They sat us at a table barely big enough for four people. It was awkward. We ended up snagging a chair from the table next to us. Our food was delicious as usual and our server was flamboyant. A little bit pricy so we don't dine here often.,06/24/2012
Buca di Beppo - Scottsdale,4.0,"3828 North Scottsdale Road Scottsdale, AZ  85251 ",71,Italian,$30 and under,Scottsdale,http://www.bucadibeppo.com,scottsdale@bucadibeppo.com,(480) 949-6622,4 / 5,"First time there. Staff was wonderful and friendly. The decor is marvelous. Was on first dated decor keep us very busy naming different people. What most impressed me, while walking out thru kitchen ypur workers were diligently scrubbing kitchen",07/17/2012
Caffe Boa - Ahwatukee,4.7,"5063 E. Elliot Rd. #1 Phoenix, AZ  85044 ",10,Italian,$30 and under,Ahwatukee,http://www.caffeboa.com,caffeboa1@msn.com,(480) 893-3331,4.8 / 5,Always happy with a great restaurant that has Gluten Free Options.,07/15/2012
Calistro Bistro DC Ranch Crossing,3.4,"18221 N. Pima Rd. #140 Scottsdale, AZ  85255",32,Contemporary American,$30 and under,Scottsdale,http://www.calistrobistro.com,dine@calistrobistro.com,(480) 502-0325,3.4 / 5,"Nothing special, certainly did not live up to its billing. I had the shortribs which at $29 or so were not worth the money. I would not go back. The place was so empty, I am not sure they will be in business long.",07/11/2012
Calistro Bistro Hilton Village,3.7,"6107 N. Scottsdale Rd Suite 110 Scottsdale, AZ  85250 ",37,Contemporary American,$30 and under,Scottsdale,http://www.calistrobistro.com/Scottsdale-Hilton-Village-Restaurant/index.html,dine2@calistrobistro.com,(480) 656-5244,3.7 / 5,"We went to dinner early so the noise level was still low enough for us to talk. Music on the patio was just starting as we were leaving so we sat on the patio and had another glass of wine and listen for at least an hour. Van and Melanie were great and sang ""our"" type of music. They went around to the tables at their break and we found out about her dog and pot bellied pig rescue facility. Nice people. We will be back for the great food and music.",06/30/2012
Canyon Cafe at Loews Ventana Canyon Resort,4.3,"7000 N. Resort Dr. Tucson, AZ  85750 ",38,American,$30 and under,Tucson,http://www.loewshotels.com/en/Ventana-Canyon-Resort/dining/restaurants,sagbovon@loewshotels.com,(520) 615-5496,4.3 / 5,"enjoyable in all aspects, impeccable service",07/15/2012
Capital Grille - Phoenix,4.4,"2502 East Camelback Suite 199 Phoenix, AZ  85016 ",99,Steakhouse,$50 and over,Phoenix,http://www.thecapitalgrille.com,Phoenix@tcgdine.com,(602) 952-8900,4.4 / 5,Food is outstandingThe summer wine Generous Pour program is a real wine steal,07/13/2012
Capital Grille - Scottsdale,4.6,"16489 North Scottsdale Rd. Scottsdale, AZ  85254 ",152,Steakhouse,$50 and over,Scottsdale,http://www.thecapitalgrille.com,Scottsdale@tcgdine.com,(480) 348-1700,4.6 / 5,outstanding!!! the Generous pour special is a must try for wine lovers...,07/17/2012
Casa Mia,4.5,"11675 North 136th Street #107 Scottsdale, AZ  85259",63,Italian,$31 to $50,Scottsdale,"",casamians@cox.net,(480) 314-0365,4.5 / 5,"We love Casa Mia and go as often as we can. Nantes was perfect, as always. The food is consistently delicious.",07/03/2012
The Casablanca Lounge,3.6,"7134 E. Stetson Drive Ste 300 Scottsdale, AZ  85251",5,Bar / Lounge / Bottle Service,$31 to $50,Scottsdale,http://www.thecasablancalounge.com,info@thecasablancalounge.com,(480) 970-7888,5 / 5,"The casa Blanca lounge was absolutely fantastic. I try to avoid old town Scottsdale as much as possible. Usually in old town the wait staffs act like the are doing you a favor by serving you, its packed all the time and the music is so loud your ears bleed. I was very suprised with Casa Blanca Lounge it was the complete opposite of my stereotype of old town. The wait staff was attentive but not annoying, the music was just perfect and the drinks were amazing. This has to be the best posse in AZ to get drinks. If service and the quality of what you pay for is important to you go to Casa Blanca you won't be disappointed. m",01/27/2012
Cask 63,4.2,"8877 N. Scottsdale Rd #402 Scottsdale, AZ  85253",122,Contemporary American,$31 to $50,Scottsdale,http://www.cask63.com,info@cask63.com,(480) 922-5666,4.2 / 5,Great food and service. Will be back!,07/09/2012
Catalina Barbeque Co. & Sports Bar,4.5,"3645 W. Starr Pass Blvd. Tucson, AZ  85745 ",14,Barbecue,$30 and under,Tucson,http://www.jwmarriottstarrpass.com/Tucson-Restaurants-AZ/Catalina-Sports-Bar-and-Grill-34.html,christine.clark@marriott.com,(520) 670-0444,4.5 / 5,"Great atmosphere and excellent food, the best BBQ I've had in the city - It equals any BBQ I've eaten in my wife's home town of San Antonio, TX. It is also the most expensive BBQ I've ever eaten, $63 total for dinner and a drink each for two people, about double what I would expect from past experiences here and in San Antonio. I assume this is due to the restaurant's location in a swanky golf resort. I'll definitely go back for more, but, due to the price, it won't be a weekly visit",07/19/2012
"Cayton's at The Ritz-Carlton Golf Club, Dove Mountain",4.2,"6501 Boulder Bridge Pass Marana, AZ  85658 ",31,American,$30 and under,Tucson,http://www.ritzcarlton.com/en/Properties/DoveMountain/Dining/caytons/Default.htm,"",(520) 572-3530,4.2 / 5,"Very limited menu but of excellent quality. Wait staff were appropriately friendly and attentive without being intrusive. Cush and Inez Cayton were gracious, hospitable people; I think they would be pleased.",07/20/2012
Chad's Steakhouse & Saloon,3.7,"3001 N. Swan Rd. Tucson, AZ  85712 ",44,Steakhouse,$30 and under,Tucson,http://www.chadssteakhouse.com,reservations@chadssteakhouse.com,(520) 881-1802,3.7 / 5,"Good deal on their $20 Summer Special (if you like NY Strip Steak). A no nonsense old time local dinning spot. Good service from our young waiter ""Bananas""?",07/21/2012
Chart House Restaurant - Scottsdale,4.0,"7255 McCormick Parkway Scottsdale, AZ  85258 ",198,Seafood,$31 to $50,Scottsdale,http://www.chart-house.com,chsc@ldry.com,(480) 951-2550,4 / 5,"The staff here are friendly, professional and attentive. The menu offers a nice variety of entrees and the presentation is beautiful. My husband had the ahi, which was marvelous, the potatoes however were nothing special. I had the chef's special which was a variety of seafood and it was all delicious. Since we avoided the salad bar and appetizers and desert, we left there satisfied without leftovers!",07/15/2012
Che-Ah-Chi at Enchantment Resort,4.2,"525 Boynton Canyon Rd Sedona, AZ  86336 ",25,Contemporary American,$50 and over,Sedona,http://enchantmentresort.com/dining/che-ah-chi-restaurant/,dres@enchantmentresort.com,(928) 204-6000,4.2 / 5,View is outrageous!The chef prepared a custom vegetarian tasting menu for us.,07/07/2012
Christopher's Restaurant/Crush Lounge,4.1,"2502 E Camelback Road Phoenix, AZ  85016 ",114,French,$31 to $50,Phoenix,http://www.christophersaz.com,christophersaz@gmail.com,(602) 522-2344,4.1 / 5,"Our server was knowledgable without being pretentious. The food was sophisticated using seasonal ingredients. We had a Parmesan encrusted goat cheese salad, lobster pot pie, tomato and mozarella pizza, and gruyere mashed potatoes. The last was a little bland. Desserts were phenominal and artistic. Wine list and scotch selection were adequate and reasonably priced. We were very pleased.",07/13/2012
Cien Agaves Tacos & Tequila,3.8,"7228 E. 1st Ave. Scottsdale, AZ  85251 ",25,Mexican,$30 and under,Scottsdale,http://www.cienagaves.com,oldtown@cienagaves.com,(480) 970-9002,3.8 / 5,Food was delicious and plentiful. Really enjoyed the Chorizo Cheese Crisp. The waiter was friendly but not the best at refilling drinks. Signage suggests some good Happy Hour prices. Parking is iffy in Old Town Scottsdale. Would definitely return.,06/23/2012
