III Forks - Dallas,http://www.opentable.com/iii-forks-dallas?scpref=109&tab=2,4.5,"17776 Dallas Parkway Dallas, TX  75287 ",385,Steak,$31 to $50,North Dallas,http://www.iiiforks.com,3Forks@croinc.com,(972) 267-1776,4.5 out of 5,Excellent food with impeccable service. High end food but down to earth service; my 17-year old felt just as comfortable as he would anywhere else thanks to such great service.,7/21/12,http://www.pickgrapevine.com/wantmore/11,11
4290 Bistro & Bar,http://www.opentable.com/4290-bistro-and-bar?scpref=109&tab=2,3.8,"4290 El Camino Real Palo Alto, CA  94306 ",17,American,$30 and under,Palo Alto,http://www.cabanapaloalto.com/dining,4290bistro@cabanapaloalto.com,(650) 628-0145,3.8 out of 5,the food was good & reasonably priced.a very good place for a banquet.,5/26/12,http://www.pickgrapevine.com/wantmore/12,12
43 North - Jackson Hole,http://www.opentable.com/43-north-jackson-hole?scpref=109&tab=2,4,"645 So Cache St. Jackson Hole, WY  83001 ",13,Contemporary American,$31 to $50,Jackson,http://www.forty3north.com,43njackson@gmail.com,(307) 733-0043,4 out of 5,"The duck special on our Saturday night dinner was under cooked and the mashed potatoes on several of our groups dinner had a dry, instant flavor. We'll give them the benefit of the doubt and try it again in a few months. The facility is stunning, at the base of Snow King, with beautiful views. The service was decent and the wine list was okay. Pure foodies might want to pass on this place, but the location and views are worth checking out.",7/14/12,http://www.pickgrapevine.com/wantmore/13,13
Charcoal Restaurant,http://www.opentable.com/charcoal-restaurant?scpref=109&tab=2,4,"43 W 9th Ave Denver, CO  80204 ",283,Contemporary European,$30 and under,Downtown/LoDo,http://www.charcoaldining.com,43wrestaurant@gmail.com,(303) 454-0000,4 out of 5,We enjoyed the chef inspired creative meal for two. The ambiance is lively but a bit too noisy for large groups. We would like to see more variety of choices on the menu in the future.,7/20/12,http://www.pickgrapevine.com/wantmore/14,14
Everest Indian Restaurant,http://www.opentable.com/everest-indian-restaurant?scpref=109&tab=2,4,"56 E. Washington Street Petaluma, CA  94952 ",3,Indian,$30 and under,Petaluma,http://www.everestindianrestaurant.com,4everestrestaurant@gmail.com,(707) 781-9131,4 out of 5,"The outstanding food completely overcomes the poor service. Actually, the servers worked very hard and were very cheerful (and apologetic) but they are just very understaffed. There were 6 of us, and we had lamb, chicken, salmon and veggie dishes. My tandoori Salmon was the best salmon I have ever had, anywhere. Apricot chicken, lamb dishes, everything was excellent. One exception was the Naan. We ordered garlic naan, got plain naan, and then discovered that it was actually the garlic version, just so mild no one could taste the garlic. But this little place could become the next Amber India, which started in a little strip mall store front similar to this place. It's that good. The drive from SF to Petaluma was absolutely worth it.",4/14/12,http://www.pickgrapevine.com/wantmore/15,15
51Fifteen Restaurant & Lounge,http://www.opentable.com/51fifteen-restaurant-and-lounge?scpref=109&tab=2,4.1,"5115 Westheimer Houston, TX  77056 ",32,International,$31 to $50,Galleria / Uptown,http://www.51fifteen.com,51fifteen@lh2g.com,(713) 963-8067,4.1 out of 5,"Great wait staff and great food. If u are expecting to enjoy your food, this is the place. Quantity is just righ. Highly impressed",7/20/12,http://www.pickgrapevine.com/wantmore/16,16
Prime Steakhouse,http://www.opentable.com/hickory-prime-steakhouse?scpref=109&tab=2,4.2,"1480 Arapahoe Street Denver, CO  80202 ",38,Steakhouse,$31 to $50,Downtown/LoDo,http://primesteakhousedenver.com/,5280steakhouse@aol.com,(303) 844-5280,4.1 out of 5,The Meal was Good the Gelato Was Great!A great Dining experience.,6/30/12,http://www.pickgrapevine.com/wantmore/17,17
Limon Rotisserie on Bay View,http://www.opentable.com/limon-rotisserie-bay-view?scpref=109&tab=2,4.2,"5800 3rd Street #1004 San Francisco, CA  94124 ",61,Peruvian,$30 and under,Bayview,http://www.limonrotisserie.com,5800third@limonrotisserie.com,(415) 926-5665,4.2 out of 5,Refreshing and authentic without the pretension.,7/14/12,http://www.pickgrapevine.com/wantmore/18,18
Five Palms - Lahaina,http://www.opentable.com/five-palms-lahaina?scpref=109&tab=2,4.1,"1450 Front St. Lahaina, HI  96761 ",23,Hawaiian,$31 to $50,Lahaina,http://www.5palmslahaina.com,5palmslahaina@gmail.com,(808) 661-0937,4.1 out of 5,"We arrived in time for the sunset special. The meal and service were very good. they offered a childrens menu for our kids and their food was also very good. Because we were there early, the dining room was mostly empty so the place was quiet. We were given a nice table by the window, with a beautiful view of the sunset over the ocean.",7/17/12,http://www.pickgrapevine.com/wantmore/19,19
5th Sun Cafe and Lounge,http://www.opentable.com/5th-sun-cafe-and-lounge?scpref=109&tab=2,4,"3024 N. Speer Denver, CO  80211 ",8,Latin / Spanish,$30 and under,Downtown/LoDo,http://www.facebook.com/pages/5th-Sun-Cafe-Lounge,5thsuncafeandlounge@gmail.com,(303) 433-6935,4 out of 5,"Breakfast burritos and green chili are the best! Tried the pesole too which was very good! I always enjoy the great service and food made with fresh ingredients - housemaid tortillas with organic flour - yum! Also, where else can you get chocolate cake (and other delicious deserts) to help put out the green chili fire left in your mouth? I wonder why this restaurant isn't busier. I think it is just a gem waiting to be discovered.",6/17/12,http://www.pickgrapevine.com/wantmore/20,20
RockSugar Pan Asian Kitchen,http://www.opentable.com/rocksugar-pan-asian-kitchen?scpref=109&tab=2,4.3,"10250 Santa Monica Blvd. Los Angeles, CA  90067 ",278,Asian,$31 to $50,Century City,http://www.RockSugarPanAsianKitchen.com,6001MGR@RockSugarPanAsianKitchen.com,(310) 552-9988,4.3 out of 5,Excellent outing at Rock Sugar. The food was delicious and the service was excellent. They remembered to put a candle on the dessert per my note on Open Table to celebrate my wife's birthday.Location - great location and parking is such a breeze in the mall parking. Great ambiance within the restaurant - romantic.Food - Very delicious and flavorful. Chicken samosas were delicious. Overall the food was very tasty and we all had a great time.,7/14/12,http://www.pickgrapevine.com/wantmore/21,21
9380,http://www.opentable.com/9380?scpref=109&tab=2,1,"Elevation Hotel -  500 Gothic Rd. Mt. Crested Butte, CO  81225 ",1,Fusion / Eclectic,$30 and under,Crested Butte,http://www.skicb.com/cbmr/lodging/elevation-hotel/elevation-dining.aspx,9380@cbmr.com,(970) 251-3030,1 out of 5,Not a good dining experience.,2/27/12,http://www.pickgrapevine.com/wantmore/22,22
94th Aero Squadron - San Diego,http://www.opentable.com/94th-aero-squadron-san-diego?scpref=109&tab=2,4.3,"8885 Balboa Ave San Diego, CA  92123 ",169,American,$30 and under,Kearny Mesa,http://www.94thaerosquadron.signonsandiego.com,94thsd@sbcglobal.net,(858) 560-6771,4.3 out of 5,IT was delicious and often go there for a good time!,7/3/12,http://www.pickgrapevine.com/wantmore/23,23
N9NE Steakhouse Las Vegas,http://www.opentable.com/n9ne-steakhouse-las-vegas?scpref=109&tab=2,4.3,"4321 West Flamingo Road Las Vegas, NV  89103 ",227,Steakhouse,$50 and over,The Palms Hotel & Casino,http://www.n9negroup.com,9steakhouse@9groupvegas.com,(702) 933-9900,4.3 out of 5,"Was good, but nothing spectacular as far as Vegas Dining goes. The 'amuse bouche' was tunafish salad on crackers... like I make my 3 year old for snacks. The scallops were enormous and perfectly cooked.",7/21/12,http://www.pickgrapevine.com/wantmore/24,24
Aldino Cucina Italiano,http://www.opentable.com/aldino-cucina-italiano?scpref=109&tab=2,4.5,"1203 N Loop 1604 W  #101 San Antonio, TX  78258 ",33,Italian,$30 and under,North San Antonio,http://aldinos.com,a4pasta@sbcglobal.net,(210) 340-0000,4.5 out of 5,"The best flounder we've ever had! - fresh, moist and perfectly prepared with a light, delicious sauce. Our waitress was charming, friendly and extremely efficient. We highly recommend this restaurant.",7/1/12,http://www.pickgrapevine.com/wantmore/25,25
Golden Beetle,http://www.opentable.com/golden-beetle?scpref=109&tab=2,4.1,"1744 NW Market Street Seattle, WA  98107 ",84,Mediterranean,$30 and under,Ballard / Fremont,http://www.Golden-Beetle.Com,aaron@golden-beetle.com,(206) 706-2977,4.1 out of 5,The Golden Beetle has an exceptional bar with hand-made bitters. Make sure to order off of their cocktail list or ask the barkeep for a suggestion. The restaurant is lovely with black and white photographs from the Mediterranean. Our server was very nice and was unobtrusive without ignoring us. My favorite dish was the cucumber and jalapeno salad.,7/20/12,http://www.pickgrapevine.com/wantmore/26,26
Boom Noodle - Bellevue Square,http://www.opentable.com/boom-noodle-bellevue-square?scpref=109&tab=2,4,"504 Bellevue Square Bellevue, WA  98004-5017 ",32,Japanese,$30 and under,Bellevue,http://www.boomnoodle.com,aaronc@boomnoodle.com,(425) 453-6094,4 out of 5,Met a collegue for lunch food was great and was not so noisy i couldn't hear him across the table. we had a good time and the server was great!,7/10/12,http://www.pickgrapevine.com/wantmore/27,27
Restaurant Soleil - Westin Palo Alto,http://www.opentable.com/restaurant-soleil-westin-palo-alto?scpref=109&tab=2,4.3,"675 El Camino Real Palo Alto, CA  94301 ",27,Californian,$30 and under,Palo Alto,http://www.phmhotels.com/westinpa.html,aartadi@pahotel.com,(650) 321-4422,4.2 out of 5,"Restaurant Soleil has an excellent brunch with the standard but also some very unusual offerings. All are high quality and delicious. There is an emphasis on Asian style salads and appetizers, in addition to fresh fish, fruits, breads, cheeses, roast beef, eggs, sausages, sweets, and a chocolate fountain! The service is attentive and friendly. The brunch is very reasonably priced, especially when considering the quality of the food. The ambiance is elegant and suitable for special occasions.",7/15/12,http://www.pickgrapevine.com/wantmore/28,28
Aslam's Rasoi,http://www.opentable.com/aslams-rasoi?scpref=109&tab=2,4.6,"1037 Valencia St San Francisco, CA  94110 ",26,Indian,$30 and under,Mission / Bernal Heights,http://www.aslamsrasoi.com/,aaslam60@yahoo.com,(415) 695-0599,4.6 out of 5,"Love love love Aslam's! The service is the best in the city, the food is oh so tasty - and we always have such a fantastic time.",7/15/12,http://www.pickgrapevine.com/wantmore/29,29
Abacus,http://www.opentable.com/abacus-dallas?scpref=109&tab=2,4.5,"4511 McKinney Avenue Dallas, TX  75205 ",208,American,$50 and over,Uptown,http://www.kentrathbun.com,abacus@kentrathbun.com,(214) 559-3111,4.5 out of 5,"Awesome Food, Great Wine and Drink List, Chef Rathburn, and his upper level Team makes his rounds and visits each table to greet them and Thank them for having dinner tonight. What a gem to find a place that takes the time to do this. Will return often and with many guest.",7/21/12,http://www.pickgrapevine.com/wantmore/30,30
Abacus - San Francisco,http://www.opentable.com/abacus-san-francisco?scpref=109&tab=2,3.8,"2078 Hayes Street San Francisco, CA  94117 ",8,Chinese,$30 and under,North Panhandle / USF,http://www.abacussf.com,abacussf@aol.com,(415) 387-2828,3.8 out of 5,"Abacus is an unpretentious neighborhood joint that delivers beautifully in arms of a well-prepared meal. It's small and unremarkable in decor (the art on the walls was a somewhat geeky collection of Batman toys) but we came for dinner and that did not disappoint. Excellent, flavorful dishes, with lovely presentation and clean, expert preparation. I was able to eat my short ribswith chopsticks (!) the meat simply fell away from the bone. And the tuna with a subtle, complex ginger wasabe glaze was exquisite. We'll be back, you should try it too!",5/18/12,http://www.pickgrapevine.com/wantmore/31,31
Abalonetti Bar and Grill,http://www.opentable.com/abalonetti-bar-and-grill?scpref=109&tab=2,3.4,"57 Fisherman's Wharf Monterey, CA  93940 ",7,Seafood,$30 and under,Monterey,http://www.abalonettimonterey.com,abalonetti@gmail.com,(831) 373-1851,3.4 out of 5,One of the best dinning spots in the Monterey area with great food and service,6/29/12,http://www.pickgrapevine.com/wantmore/32,32
Pancho's,http://www.opentable.com/panchos?scpref=109&tab=2,4.2,"3615 Highland Ave Manhattan Beach, CA  90266 ",79,Mexican / Southwestern,$30 and under,Manhattan Beach / Hermosa Beach,http://www.panchosrestaurant.com,ABBJOHN@aol.com,(310) 545-6670,4.2 out of 5,"We love Panchos, the shrimp tacos are tasty and the Mole enchiladas are very good. Mole is a very difficult sauce and they do a nice job. Not too sweet and not too spicy. Crispy chips and awesome margaritas. Also great live band on Friday and Saturday nights. Top talent musicians that play with big bands like Stevie Nicks, Alice Cooper etc.",7/14/12,http://www.pickgrapevine.com/wantmore/33,33
Steingarten LA,http://www.opentable.com/steingarten-la?scpref=109&tab=2,3.8,"10543 W. Pico Blvd Los Angeles, CA  90064 ",51,Beer Garden,$30 and under,West Los Angeles,http://www.steingartenla.com,aberookhim@aol.com,(310) 441-0441,3.8 out of 5,Great beer and sausage selection!!,7/13/12,http://www.pickgrapevine.com/wantmore/34,34
The Melting Pot - Albuquerque,http://www.opentable.com/the-melting-pot-albuquerque?scpref=109&tab=2,4.5,"2201 Uptown Loop NE Suite 1A Albuquerque, NM  87110 ",228,Fondue,$50 and over,Albuquerque,http://www.meltingpot.com/albuquerque-nm/specials,AbqMeltingPot@gmail.com,(505) 843-6358,4.5 out of 5,"The space, the service, the food: AWESOME!",7/21/12,http://www.pickgrapevine.com/wantmore/35,35
Bob's Steak and Chop House,http://www.opentable.com/bobs-steak-and-chop-house-omni-tucson-national-resort?scpref=109&tab=2,4.2,"2727 West Club Drive Tucson, AZ  85742 ",27,Steakhouse,$31 to $50,Tucson,http://www.bobs-steakandchop.com/tucson.html,abravo@omnihotels.com,(520) 877-2377,4.2 out of 5,"Very nice restaurant, though it was uncomfortably hot, with the exception of the entry hall which was very well air conditioned. The food was great, though the cook needs to be informed of the difference between medium rare and well done.",7/7/12,http://www.pickgrapevine.com/wantmore/36,36
Tilth,http://www.opentable.com/tilth?scpref=109&tab=2,4.5,"1411 N. 45th Street Seattle, WA  98103 ",149,American,$31 to $50,Wallingford,http://www.tilthrestaurant.com,abresnik@tilthrestaurant.com,(206) 633-0801,4.5 out of 5,We had the most delicious and relaxing dinner! will certainly frequent Tilth! amazing!!,7/17/12,http://www.pickgrapevine.com/wantmore/37,37
Blue Wave Bar and Grill,http://www.opentable.com/blue-wave-bar-and-grill?scpref=109&tab=2,4.4,"205 Shelter Drive San Diego, CA  92106 ",11,Seafood,$30 and under,Ocean Beach,http://www.islandpalms.com/downtown-san-diego-restaurants/,abush@islandpalms.com,(619) 223-2572,4.4 out of 5,"We eat here about once a month, so what more could I say.",7/8/12,http://www.pickgrapevine.com/wantmore/38,38
Sensi - Bellagio,http://www.opentable.com/sensi-bellagio?scpref=109&tab=2,4.3,"Bellagio Hotel &amp; Casino 3600 Las Vegas Blvd South Las Vegas, NV  89109",116,Asian,$31 to $50,Bellagio Hotel & Casino,http://www.bellagio.com/sensi,ACohen@BellagioResort.com,(702) 693-8800,4.3 out of 5,"Overall, disappointing.",7/16/12,http://www.pickgrapevine.com/wantmore/39,39
A Cote,http://www.opentable.com/a-cote?scpref=109&tab=2,4.2,"5478 College Ave Oakland, CA  94618 ",205,Mediterranean,$30 and under,Oakland,http://www.acoterestaurant.com,acote@acoterestaurant.com,(510) 655-6469,4.2 out of 5,"Incredible food, dishes perfectly prepared and presented under the direction of Chef Matt Colgan, interesting ingredient combinations, fantastic international wine list of little known wines from remote areas of Greece, southwestern France, Spain, Yugoslavia (Bosnia, etc), Hungary, Austria, etc... and a lovely bartender named Rich who recommended the Gruner Veltliner tasting, plus suggested an incredible red, an indigenous velvety full bodied Greek wine from the Peloponnesos area pf Greece...I bought the last two bottles...Go there! Plus, it's a great value..",7/20/12,http://www.pickgrapevine.com/wantmore/40,40
Formaggio Taverna & Patio,http://www.opentable.com/formaggio-taverna-and-patio-sacramento-marriott-rancho-cordova?scpref=109&tab=2,3.5,"11211 Point East Drive Rancho Cordova, CA  95742 ",8,Italian,$30 and under,Rancho Cordova,http://www.formaggiorestaurant.com,adam.miller@marriottranchocordova.com,(916) 267-6755,3.5 out of 5,We sat outside which was a mistake. The adjacent freeway noise was overwhelming. The wait staff was uniformed and abrupt. The food was mediocre at best. I recently built a wood fired pizza oven in my backyard. I don't yet know what I am doing but my pizzas are much better than the one I had at the Fromaggio. They must be used to serving captives at the hotel. They certainly won't attract non-guests. The only good thing I have to say is that the wine list was affordable.,7/13/12,http://www.pickgrapevine.com/wantmore/41,41
Francesca's at Sunset,http://www.opentable.com/francescas-at-sunset?scpref=109&tab=2,4.2,"16641 La Cantera Parkway San Antonio, TX  78256 ",42,American,$31 to $50,North San Antonio,http://www.westinlacantera.com/dining.html,adam.montalvo@westin.com,(210) 558-2253,4.2 out of 5,"Great place to eat.La Canterra was such a great place to take my wife on her 30th b-day.We both loved the ambiance,food and service indeed...Will be back again",7/18/12,http://www.pickgrapevine.com/wantmore/42,42
Blu Restaurant - SF,http://www.opentable.com/blu-restaurant-sf?scpref=109&tab=2,3.2,"747 Market St, 4th Floor San Francisco, CA  94103 ",25,Californian,$30 and under,Downtown / Union Square,http://www.blurestaurant.com/sf,adam@blurestaurant.com,(415) 633-3966,3.1 out of 5,"I was very disappointed with my experience at Blu. Although they had a decent-sized wine list, we were told that the only wine that they had available was the house wine. Additionally, my food was over-cooked and my friend's order came out incorrectly and had to be re-done. There was no apology issued by the server, who appeared to be more interested in mingling with her co-workers than actually serving. This was an absolutely horrible experience and one that I would not recommend to anyone. Considering the location of this restaurant, the Four Seasons, I expected more.",7/6/12,http://www.pickgrapevine.com/wantmore/43,43
Farmstead,http://www.opentable.com/farmstead?scpref=109&tab=2,4.4,"738 Main Street Saint Helena, CA  94574 ",466,American,$30 and under,St. Helena,http://www.farmsteadnapa.com,adam@farmsteadnapa.com,(707) 963-9181,4.4 out of 5,"Menu heavily slanted toward meat eaters. Limited choices of fish, fowl or vegetarian dishes. Salad was excellent. Main courses presented with flair but nothing out of the ordinary. Very very noisy due to high ceilings. If you like meat, this would be a good choice with many offerings.",7/15/12,http://www.pickgrapevine.com/wantmore/44,44
Buttons Food and Music-Addison,http://www.opentable.com/buttons-food-and-music-addison?scpref=109&tab=2,3.6,"15207 Addison Rd Addison, TX  75001 ",105,Southern,$30 and under,Addison,http://www.ButtonsRestaurant.com,Addison@ButtonsRestaurant.com,(972) 503-2888,3.6 out of 5,"I really liked everything there. The food is awesome, drinks are good and the band was hot. My only complaint is that we were asked to leave as they had another reservation for our table right as the band began to play. We were still ready to buy more drinks and listen to the band. We got there at 7:30 and the band didn't get on stage until 9 pm. With it being a Friday night there was no where to sit at the bar so we left. Which was unfortunate as we really wanted to stay hear the band and have a few more drinks. I will definitely recommend it and will be going back. I will just make sure to make a later reservation so that we can enjoy the band more.",7/13/12,http://www.pickgrapevine.com/wantmore/45,45
Addison at The Grand Del Mar,http://www.opentable.com/addison-at-the-grand-del-mar?scpref=109&tab=2,4.7,"5200 Grand Del Mar Way San Diego, CA  92130 ",77,Contemporary French,$50 and over,Del Mar,http://www.addisondelmar.com,addisonhost@addisondelmar.com,(858) 314-1900,4.7 out of 5,This is truly a fine dining experience that we were fortunate to have had.,7/11/12,http://www.pickgrapevine.com/wantmore/46,46
Adega Portuguesa,http://www.opentable.com/adega-portuguesa?scpref=109&tab=2,2.4,"1138 Smith Street Honolulu, HI  96817 ",9,Portuguese,$30 and under,Honolulu,http://Adegahi.com,Adega1138@hotmail.com,(808) 566-5909,2.4 out of 5,"The service was terrible. Our server admitted it was her first day and it showed. Service was painfully slow though the restaurant was mostly empty. She asked for our drink orders before giving us a drink menu, didn't know anything about the menu (including how to even pronounce the names of the dishes), walked away before we could finish ordering our food, and didn't bring bread plates when she brought out the bread.",7/20/12,http://www.pickgrapevine.com/wantmore/47,47
Gaucho Grill - Long Beach,http://www.opentable.com/gaucho-grill-long-beach?scpref=109&tab=2,3.9,"200 Pine Ave Long Beach, CA  90802 ",66,Argentinean,$30 and under,Long Beach,http://www.gauchogrillusa.com,adrian@gauchogrillusa.com,(562) 590-5000,3.9 out of 5,Very much enjoyed the prix fixe lunch for Dine LA. Loved the spinach and cheese empanada and Manager's salad!,7/17/12,http://www.pickgrapevine.com/wantmore/48,48
Adriatic Grill - Italian Cuisine & Wine Bar,http://www.opentable.com/adriatic-grill-italian-cuisine-and-wine-bar?scpref=109&tab=2,4.3,"4201 S. Steele St. Tacoma, WA  98409 ",85,Italian,$30 and under,Tacoma,http://www.adriaticgrill.com,adriaticgrill@comcast.net,(253) 475-6000,4.3 out of 5,"After previously having a bad experience at the Adriatric Grill, I decided to give it a try again with a friend for lunch. We ate at the bar and the bartender served us. She was not that friendly, slow with service even though the bar was dead during lunch, didn't offer bread like the surrounding tables had, didn't refill our water, was slow to offer another alcoholic beverage (we were only on our first drink), and we had to wait forever for our check even though we asked for it twice and the waitress only had 1 other table! This is the second time I had a bad experience; really wanted to like the place but I probably won't go back. Bad service is a NO NO, especially when the server isn't busy. Worked in the restaurant biz for yrs NO EXCUSE",7/17/12,http://www.pickgrapevine.com/wantmore/49,49
Museum Cafe,http://www.opentable.com/museum-cafe?scpref=109&tab=2,4.3,"415 Couch Dr. Oklahoma City, OK  73102 ",115,Fusion / Eclectic,$31 to $50,Oklahoma City,http://www.okcmoa.com/cafe/,afarnia@okcmoa.com,(405) 235-6262,4.3 out of 5,"Excellent, as always. Food, ambience, and service--all top-notch. The only small negative: a very loud person who stood, at the next table, and spoke long and loudly to people seated there. He was so loud, we couldn't continue our own conversation. Shame on him--no manners! But an intervention from the staff would have been much appreciated! Otherwise, an extremely pleasant experience in every resepct.",7/21/12,http://www.pickgrapevine.com/wantmore/50,50
Afghan Grill,http://www.opentable.com/afghan-grill?scpref=109&tab=2,4.7,"17370 Preston Rd. Suite 490 Dallas, TX  75252 ",12,Afghan,$30 and under,North Dallas,http://www.afghangrilltx.com,afghangrill@gmail.com,(972) 818-0300,4.7 out of 5,"Our third visit to Afghan Grill. The appetizer Sampler was a very generous portion for 4 people, and serves as a wonderful introduction to the menu. Also highly recommend the Aush, a hearty, highly flavorful soup. Personal service that was right on the money.",7/6/12,http://www.pickgrapevine.com/wantmore/51,51
Newport Seafood Grill - Lloyd Center,http://www.opentable.com/newport-seafood-grill-lloyd-center?scpref=109&tab=2,3.9,"1200 NE Broadway Portland, OR  97232 ",21,Seafood,$30 and under,Downtown Portland - NE,http://www.newportseafoodgrill.com,afields@r-u-i.com,(503) 493-0100,3.9 out of 5,"We had a group of 17 (from White Rock, Canada) and went to the Newport seafood Grill to celebrate finishing the Seattle to Portland bike ride. The service and food were excellent - especially given that we had such a large group! Thanks for accommodating such a large group!",7/15/12,http://www.pickgrapevine.com/wantmore/52,52
