Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
The Grill at The Fairmont,phoenix,3,12,2.9,http://www.opentable.com/the-grill-at-the-fairmont?scpref=110,(480) 585-4848,scp.thegrill@fairmont.com
Guadalajara Fiesta Grill,phoenix,8,40,4.1,http://www.opentable.com/guadalajara-fiesta-grill?scpref=110,(520) 296-1122,g.fiestagrill@gmail.com
Guadalajara Original Grill,phoenix,10,69,3.9,http://www.opentable.com/guadalajara-original-grill?scpref=110,(520) 323-1022,ggrill@att.net
Harvest Restaurant,phoenix,5,70,4.3,http://www.opentable.com/harvest-restaurant?scpref=110,(520) 731-1100,dine@harvestov.com
The Heartline Cafe,phoenix,9,96,4.0,http://www.opentable.com/the-heartline-cafe?scpref=110,(928) 282-0785,heartline@heartlinecafe.com
The House at Secret Garden,phoenix,10,111,4.5,http://www.opentable.com/the-house-at-secret-garden?scpref=110,(602) 243-8539,info@HouseAtSecretGarden.com
House of Tricks,phoenix,10,273,4.4,http://www.opentable.com/house-of-tricks?scpref=110,(480) 968-1114,dining@houseoftricks.com
HUB Restaurant & Ice Creamery,phoenix,5,19,4.4,http://www.opentable.com/hub-restaurant-and-ice-creamery?scpref=110,(520) 207-8201,krgroup@me.com
Hundred Rox,phoenix,3,38,4.1,http://www.opentable.com/hundred-rox-sedona?scpref=110,(928) 282-4828 x321,""
Il Terrazzo - The Phoenician,phoenix,4,30,4.3,http://www.opentable.com/il-terrazzo-the-phoenician?scpref=110,(480) 423-2530,thephoenician@luxurycollection.com
J&G Steakhouse Scottsdale at The Phoenician,phoenix,10,113,4.3,http://www.opentable.com/j-and-g-steakhouse-scottsdale-at-the-phoenician?scpref=110,(480) 214-8000,reservations@jgsteakhousescottsdale.com
J. Alexander's,phoenix,10,59,4.2,http://www.opentable.com/j-alexanders?scpref=110,(480) 991-2504,ja32@jalexanders.com
Josephine's Modern American Bistro,phoenix,8,44,4.4,http://www.opentable.com/josephines-modern-american-bistro?scpref=110,(928) 779-3400,cheftcosentino@msn.com
Kai - Sheraton Wild Horse Pass Resort,phoenix,10,107,4.9,http://www.opentable.com/kai-sheraton-wild-horse-pass-resort?scpref=110,(602) 385-5726,Kai@sheraton.com
Kincaid's - Phoenix,phoenix,10,122,4.1,http://www.opentable.com/kincaids-phoenix?scpref=110,(602) 340-0000,sredington@r-u-i.com
Kingfisher Bar & Grill,phoenix,5,106,4.4,http://www.opentable.com/kingfisher-bar-and-grill?scpref=110,(520) 323-7739,kfbgtuc@aol.com
Kona Grill - Chandler,phoenix,3,18,3.6,http://www.opentable.com/kona-grill-chandler?scpref=110,(480) 792-1711,chandler@konagrill.com
Kona Grill - Gilbert,phoenix,5,28,3.8,http://www.opentable.com/kona-grill-gilbert?scpref=110,(480) 289-4500,gilbert@konagrill.com
Kona Grill - Phoenix,phoenix,3,22,3.9,http://www.opentable.com/kona-grill-phoenix?scpref=110,(480) 289-5707,phoenix@konagrill.com
Kona Grill - Scottsdale,phoenix,0,13,4.2,http://www.opentable.com/kona-grill-scottsdale?scpref=110,(480) 429-1100,scottsdale@konagrill.com
Ko'sin Sheraton Wild Horse Pass Resort,phoenix,4,30,4.1,http://www.opentable.com/kosin-sheraton-wild-horse-pass-resort?scpref=110,(602) 225-0100,kai@sheraton.com
La Hacienda at The Fairmont,phoenix,10,73,4.4,http://www.opentable.com/la-hacienda-at-the-fairmont?scpref=110,(480) 585-4848 x7320,kristen.forgione@fairmont.com
La Torretta Ristorante,phoenix,7,70,4.1,http://www.opentable.com/la-torretta-ristorante?scpref=110,(480) 991-2000,info@latorrettaaz.com
L'Amore,phoenix,5,36,4.6,http://www.opentable.com/lamore?scpref=110,(602) 381-3159,lamorerestaurant@cox.net
Lariat Restaurant,phoenix,3,16,3.9,http://www.opentable.com/lariat-restaurant?scpref=110,(480) 595-3829,dining@carefree-resort.com
L'Auberge Restaurant on Oak Creek,phoenix,9,137,4.6,http://www.opentable.com/lauberge-restaurant-on-oak-creek?scpref=110,(928) 282-1661,chefdavids@lauberge.com
Le Rendez-vous Bistro & Restaurant Francais,phoenix,5,117,4.2,http://www.opentable.com/le-rendez-vous-bistro-and-restaurant-francais?scpref=110,(520) 323-7373,bergerjeanclaude@gmail.com
Ling & Louie's Kitchen,phoenix,2,21,3.8,http://www.opentable.com/ling-and-louies-kitchen?scpref=110,(602) 955-5593,biltmore@lingandlouies.com
Litchfield's,phoenix,10,67,4.3,http://www.opentable.com/litchfields?scpref=110,(623) 935-3811,jwatson@wigwamarizona.com
Local Bistro + Bar,phoenix,9,131,4.3,http://www.opentable.com/local-bistro?scpref=110,(480) 302-6050,info@localbistroaz.com
Lodge on the Desert,phoenix,6,108,4.2,http://www.opentable.com/lodge-on-the-desert?scpref=110,(520) 320-2014,frank.rodriguez@lodgeonthedesert.com
Lon's at The Hermosa,phoenix,10,270,4.4,http://www.opentable.com/lons-at-the-hermosa?scpref=110,(602) 955-7878,info@lons.com
Maggiano's - Scottsdale,phoenix,10,314,4.3,http://www.opentable.com/maggianos-scottsdale?scpref=110,(480) 333-4100,scottsdale.information@maggianos.com
Mama Louisa's Italian Restaurant,phoenix,2,22,4.2,http://www.opentable.com/mama-louisas-italian-restaurant?scpref=110,(520) 790-4702,spgetty@cox.net
Marcellino Ristorante,phoenix,5,28,4.4,http://www.opentable.com/marcellino-ristorante?scpref=110,(480) 990-9500,info@marcellinoristorante.com
Market Street Kitchen,phoenix,10,163,3.8,http://www.opentable.com/market-street-kitchen?scpref=110,(480) 278-7044,Info@MarketStreetKitchen.com
Mastro's City Hall Steakhouse,phoenix,10,203,4.5,http://www.opentable.com/mastros-city-hall-steakhouse?scpref=110,(480) 941-4700,cityhall@mastrosrestaurants.com
Mastro's Ocean Club - Scottsdale,phoenix,10,256,4.5,http://www.opentable.com/mastros-ocean-club-kierland-blvd?scpref=110,(480) 443-8555,kierland@mastrosrestaurants.com
Mastro's Steakhouse - Scottsdale,phoenix,10,137,4.6,http://www.opentable.com/mastros-ocean-club-pinnacle-peak-dr?scpref=110,(480) 585-9500,steakhouse@mastrosrestaurants.com
Maynards Market + Kitchen,phoenix,10,136,4.3,http://www.opentable.com/maynards-market-and-kitchen?scpref=110,(520) 545-0577 x1,maynardsreservations@gmail.com
McMahon's Prime Steakhouse,phoenix,10,98,4.3,http://www.opentable.com/mcmahons-prime-steakhouse?scpref=110,(520) 327-7463,mcmahonsprime@metrorestaurants.com
The Melting Pot - Tucson,phoenix,10,70,4.3,http://www.opentable.com/the-melting-pot-tucson?scpref=110,(520) 575-6358,tucsonmeltingpot@aol.com
Meritage Steakhouse @ JW Marriott Desert Ridge,phoenix,1,47,4.2,http://www.opentable.com/meritage-steakhouse-at-jw-marriott-desert-ridge?scpref=110,(480) 293-3939,""
Metropolitan Grill,phoenix,3,50,4.2,http://www.opentable.com/metropolitan-grill?scpref=110,(520) 531-1212,metropolitangrill@metrorestaurants.com
Mia Francesca-Scottsdale,phoenix,10,97,4.0,http://www.opentable.com/mia-francesca-scottsdale?scpref=110,(480) 535-5800,lorishapiro@miafrancesca.com
Miguel's,phoenix,5,29,4.1,http://www.opentable.com/miguels?scpref=110,(520) 887-3777,miguels@transwest.us
The Mission,phoenix,10,299,4.4,http://www.opentable.com/the-mission?scpref=110,(480) 636-5005,info@themissionaz.com
Modern Steak,phoenix,10,114,4.3,http://www.opentable.com/modern-steak?scpref=110,(480) 423-7000,modernsteak@foxrc.net
Monti's La Casa Vieja,phoenix,10,129,4.2,http://www.opentable.com/montis-la-casa-vieja?scpref=110,(480) 967-7594,""
Morton's The Steakhouse - Scottsdale,phoenix,10,117,4.2,http://www.opentable.com/mortons-the-steakhouse-scottsdale?scpref=110,(480) 951-4440,cm.msl@mortons.com
Nellie Cashman's Monday Club Cafe at The Westin Kierland Resort & Spa,phoenix,2,25,4.1,http://www.opentable.com/nellie-cashmans-monday-club-cafe-at-the-westin-kierland-resort-and-spa?scpref=110,(480) 624-1202,info@kierlandresort.com
Nobuo at Teeter House,phoenix,6,86,4.6,http://www.opentable.com/nobuo-at-teeter-house?scpref=110,(602) 254-0600,ryugakushi@yahoo.com
noca,phoenix,10,105,4.2,http://www.opentable.com/noca?scpref=110,(602) 956-6622,info@restaurantnoca.com
NoRTH - Scottsdale,phoenix,10,97,4.1,http://www.opentable.com/north-scottsdale?scpref=110,(480) 948-2055,northphx@foxrc.net
NoRTH - Tucson,phoenix,10,163,3.6,http://www.opentable.com/north-tucson?scpref=110,(520) 299-1600,jbergant@foxrc.net
NORTH Arcadia,phoenix,10,100,4.2,http://www.opentable.com/north-arcadia?scpref=110,(602) 324-5600,north40@foxrc.net
Ocean Prime - Phoenix,phoenix,10,86,4.5,http://www.opentable.com/ocean-prime-phoenix?scpref=110,(480) 347-1313,opcitynorth@cameronmitchell.com
Old Pueblo Grille,phoenix,10,88,4.1,http://www.opentable.com/old-pueblo-grille?scpref=110,(520) 326-6000,oldpueblogrille@metrorestaurants.com
Olive & Ivy Restaurant & Marketplace,phoenix,10,233,4.3,http://www.opentable.com/olive-and-ivy-restaurant-and-marketplace?scpref=110,(480) 751-2200,oliveandivy@foxrc.net
Omaha Steakhouse -Phoenix,phoenix,3,15,3.9,http://www.opentable.com/omaha-steakhouse-phoenix?scpref=110,(602) 553-8970,cryan@ciemail.com
Palm Court at The Scottsdale Resort,phoenix,8,51,4.5,http://www.opentable.com/palm-court-at-the-scottsdale-resort?scpref=110,(480) 596-7522,dining@benchmarkmanagement.com
Palo Verde at The Boulders Resort,phoenix,4,19,4.3,http://www.opentable.com/latilla-at-the-boulders-resort?scpref=110,(480) 488-9009 x1105,phxrs_concierge@theboulders.com
Pasta Brioni,phoenix,10,90,4.5,http://www.opentable.com/pasta-brioni?scpref=110,(480) 994-0028,pastabrioni@yahoo.com
Pastiche Modern Eatery,phoenix,10,124,4.3,http://www.opentable.com/pastiche-modern-eatery?scpref=110,(520) 325-3333,info@pasticheme.com
Persian Room,phoenix,9,71,4.3,http://www.opentable.com/persian-room?scpref=110,(480) 614-1414,persianroom@gmail.com
Petite Maison,phoenix,10,124,4.3,http://www.opentable.com/petite-maison?scpref=110,(480) 991-6887,info@PetiteMaisonAZ.com
Phoenix City Grille,phoenix,4,66,4.3,http://www.opentable.com/phoenix-city-grille?scpref=110,(602) 266-3001,info@phoenixcitygrille.com
Pinon Grill,phoenix,4,17,3.8,http://www.opentable.com/pinon-grill?scpref=110,(480) 367-2422,pinongrill@mill-usa.com
'Pomo Pizzeria Napoletana,phoenix,6,30,4.4,http://www.opentable.com/pomo-pizzeria-napoletana?scpref=110,(480) 998-1366,info@pomopizzeria.com
Posh - Scottsdale,phoenix,8,82,4.4,http://www.opentable.com/posh-scottsdale?scpref=110,(480) 663-7674,Info@poshscottsdale.com
Prado - Montelucia Resort,phoenix,5,36,4.3,http://www.opentable.com/prado-montelucia-resort?scpref=110,(480) 627-3004,montelucia.informations@ihg.com
Primo at the JW Marriott Starr Pass Resort & Spa,phoenix,4,41,4.3,http://www.opentable.com/primo-at-the-jw-marriott-starr-pass-resort-and-spa?scpref=110,(520) 791-6071,ian.w.broome@marriott.com
Proof,phoenix,6,15,3.8,http://www.opentable.com/proof-scottsdale?scpref=110,(480) 513-5085,""
