Ariccia Italian Trattoria & Bar,http://www.opentable.com/ariccia-italian-trattoria-and-bar?scpref=110&tab=2,4,"241 South College Street Auburn, AL  36830 ",17,Italian,$30 and under,Auburn ,http://www.auhcc.com/dine/ariccia-en.html,wynn.springer@auhcc.com,(334) 844-5140,2.0 / 5,sevice and quality of food not up to review ratings,10/12/12,http://www.pickgrapevine.com/wantmore5/ariccia-italian-trattoria-and-bar,ariccia-italian-trattoria-and-bar
MetroPrime Steakhouse,http://www.opentable.com/metroprime-steakhouse?scpref=110&tab=2,4,"1035 20th Street South Birmingham, AL  35205 ",98,Steakhouse,$50 and over,Birmingham,http://www.metroprimesteak.com,info@metroprimesteak.com,(205) 623-5288,3.0 / 5,Service was okay this time. My steak was suppose to be medium rare and it was too rare. But by the time we got the food I was hungry to go ahead and eat and didn't want to send it back.,10/26/12,http://www.pickgrapevine.com/wantmore5/metroprime-steakhouse,metroprime-steakhouse
Ocean,http://www.opentable.com/ocean?scpref=110&tab=2,4.4,"1218 20th Street South Birmingham, AL  35205 ",89,Seafood,$31 to $50,Birmingham,http://www.oceanbirmingham.com,heather@oceanbirmingham.com,(205) 933-0999,4.0 / 5,I believe waitress can be a littler nicer...,10/12/12,http://www.pickgrapevine.com/wantmore5/ocean,ocean
Ruth's Chris Steak House - Birmingham,http://www.opentable.com/ruths-chris-steak-house-birmingham?scpref=110&tab=2,4.6,"2300 Woodcrest Place Birmingham, AL  35209 ",23,Steakhouse,$50 and over,Birmingham,http://ruthschris.net/reservations/birmingham/,info@ruthschris.net,(205) 879-9995,3.0 / 5,"There were four people in my dinner party. The restaurant was not crowded, but it took almost one hour for our food to arrive from the time that we ordered.",10/10/12,http://www.pickgrapevine.com/wantmore5/ruths-chris-steak-house-birmingham,ruths-chris-steak-house-birmingham
Ruth's Chris Steak House - Huntsville,http://www.opentable.com/ruths-chris-steak-house-huntsville?scpref=110&tab=2,4.4,"800 Monroe Street Huntsville, AL  35801 ",22,Steak,$50 and over,Huntsville,http://ruthschris.net/reservations/huntsville/,info@ruthschris.net,(256) 539-3930,5.0 / 5,"As always the Ruth's Chris chain is the pinnacle of Steak Houses. The ambiance and service is always impeccable, and the quality of the steaks is outstanding. The only issue is the price point of this particular restaurant which also serves as the in-house restaurant of the Embassy Suite Hotel in Huntsville. Huntsville and the greater Madison area has numerous Steak houses that are of a comparable quality (albeit a slightly lower tier) to Ruth‰Ûªs Chris but with a much lower price per dish. While I love Ruth‰Ûªs Chris, I have a feeling that we will only return to the Huntsville restaurant for special occasions, or wait to visit our favorite branch in Boston's Old City Hall.",10/26/12,http://www.pickgrapevine.com/wantmore5/ruths-chris-steak-house-huntsville,ruths-chris-steak-house-huntsville
Ruth's Chris Steak House - Mobile,http://www.opentable.com/ruths-chris-steak-house-mobile?scpref=110&tab=2,4.9,"2058 Airport Blvd. Mobile, AL  36606 ",8,Steak,$50 and over,Mobile,http://www.cooperrestaurants.com,mobile.ruthschris@coopertsmith.com,(251) 476-0516,5.0 / 5,A very nice fine dining experience...,9/22/12,http://www.pickgrapevine.com/wantmore5/ruths-chris-steak-house-mobile,ruths-chris-steak-house-mobile
Satterfield's Restaurant,http://www.opentable.com/satterfields-restaurant?scpref=110&tab=2,4.6,"3161 Cahaba Heights Road Suite 113 Birmingham, AL  35243",75,Contemporary American,$31 to $50,Birmingham,http://www.satterfieldsrestaurant.com,kmoore@satterfieldsrestaurant.com,(205) 969-9690,5.0 / 5,"Satterfield's is what fine dining is all about. First impression was notable beginning with valet service at the front door. We were seated immediately at our reserved table complete with white linen. The menu choices were excellent, delectable foie gras appetizer, arugula salad, she had some of the best red snapper she's ever tried and I had succulent venison (not gamey at all) for our main courses. Of course we shared and neither of us felt cheated with our selections. Dessert consisted of coffee, beignets and chocolate cake. We cleaned all of our plates. Our waitress was quite knowledgable and informative and so was the bartender who knows how to create unique beverages. A romantic dining experience with excellent food and service.",10/27/12,http://www.pickgrapevine.com/wantmore5/satterfields-restaurant,satterfields-restaurant
Sekisui - Vestavia Hills,http://www.opentable.com/sekisui?scpref=110&tab=2,4.3,"700 Montgomery Hwy Suite 178 Vestavia Hills, AL  35216",22,Sushi,$30 and under,Birmingham,http://www.sekisuiusa.com,birmingham@sekisuiusa.com,(205) 978-7775,5.0 / 5,one of our favorite sushi spots!!,10/26/12,http://www.pickgrapevine.com/wantmore5/sekisui,sekisui
"Shamrock, Rose and Thistle",http://www.opentable.com/shamrock-rose-and-thistle?scpref=110&tab=2,4.3,"4513 Old Shell Rd. Mobile, AL  36608 ",4,British,$30 and under,Mobile,http://www.shamrockroseandthistle.com,info@shamrockroseandthistle.com,(251) 343-4669,5.0 / 5,"Love to eat here...always friendly and great food! I highly recommend Shamrock, Rose, and Thistle for general dining or any special occasion!",8/24/12,http://www.pickgrapevine.com/wantmore5/shamrock-rose-and-thistle,shamrock-rose-and-thistle
Shula's Steak House - Birmingham,http://www.opentable.com/shulas-steak-house-birmingham?scpref=110&tab=2,4.4,"1000 Riverchase Galleria Birmingham, AL  35244 ",50,Steak,$50 and over,Birmingham,http://www.donshula.com/locations.php?l=1&restid=2,starla.andrews@wynfreyhotel.com,(205) 444-5750,3.0 / 5,"Starting with what was done well, I found the steak well prepared, the scallops very tasty, and the french onion soup was one of the best I've had.None of the experience felt like it was worth what I paid. My wife and I would have had a better experience at Firebirds, Ruth's Chris... there's a dozen other places we could have had better food, and cheaper price.",10/22/12,http://www.pickgrapevine.com/wantmore5/shulas-steak-house-birmingham,shulas-steak-house-birmingham
The Veranda on Highland,http://www.opentable.com/the-veranda-on-highland?scpref=110&tab=2,4.6,"2220 Highland Avenue South Birmingham, AL  35205 ",79,Southern,$30 and under,Birmingham,http://www.verandaonhighland.com,virginia@verandaonhighland.com,(205) 939-5551,5.0 / 5,Very good food and service. It's hard to consistently be so good at both lunch and dinner but they seem to do it day in and day out.,10/24/12,http://www.pickgrapevine.com/wantmore5/the-veranda-on-highland,the-veranda-on-highland
Village Tavern Birmingham,http://www.opentable.com/village-tavern-birmingham?scpref=110&tab=2,4.4,"101 Summit Blvd. Birmingham, AL  35243 ",72,American,$30 and under,Birmingham,http://www.villagetavern.com,birmingham@villagetavern.com,(205) 970-1640,5.0 / 5,My husband and I almost always go here when we want a steak. They are seasoned just enough and cooked how we ask.,10/19/12,http://www.pickgrapevine.com/wantmore5/village-tavern-birmingham,village-tavern-birmingham
Villaggio Grille at the Wharf,http://www.opentable.com/villaggio-grille-at-the-wharf?scpref=110&tab=2,4.4,"4790 Main Street, F108 Orange Beach, AL  36561 ",34,Contemporary American,$30 and under,Mobile,http://www.villaggiogrille.com,villaggiogrilleob@gmail.com,(251) 224-6510,3.0 / 5,We chose this restaurant because of the proximity to the water. The view was wonderful even though they are adding a deck outside and there is large equipment outside the window. The food was a mix for our table. My husband and I split a seafood platter and I didn't care for the sauce but he liked it. The other couple said their food was just OK. I would try this place again and maybe order something different.,9/19/12,http://www.pickgrapevine.com/wantmore5/villaggio-grille-at-the-wharf,villaggio-grille-at-the-wharf
Watercress Bridge Street,http://www.opentable.com/watercress-bridge-street?scpref=110&tab=2,4.4,"365 The Bridge Street NW, Suite 125 Huntsville, AL  35806 ",49,Southern,$30 and under,Huntsville,http://www.watercresshsv.com,watercresshsv@gmail.com,(256) 585-3265,4.0 / 5,A little hard to find but worth it. Freindly staff and a great rib eye.,10/24/12,http://www.pickgrapevine.com/wantmore5/watercress-bridge-street,watercress-bridge-street
