name,url,rating,address,total_reviews,cuisine,price,neighborhood,website,email,phone,review_rating,review_description,review_dine_date,marketing_url,marketing_id
Beast,http://www.opentable.com/beast?scpref=110&tab=2,4.4,"5425 NE 30th Ave Portland, OR  97211 ",169,French,$50 and over,Downtown Portland - NE,http://www.beastpdx.com,beast@beastpdx.com,(503) 841-6968,4.4 / 5,"The food was outstanding...6 courses of culinary genius. It was even better having prepared right in front of you. The atmosphere was surprisingly fun and energetic with the two group tables, adjacent kitchen, and knowledgable staff. I highly recommend you get here as quickly as you can.",8/16/12,http://www.pickgrapevine.com/wantmore2/beast,beast
Benihana - Beaverton,http://www.opentable.com/benihana-beaverton?scpref=110&tab=2,4.4,"9205 SW Cascade Ave Beaverton, OR  97008-7189 ",176,Japanese,$30 and under,Beaverton,http://www.benihana.com/locations/beaverton-or-bv,Beaverton@benihana.com,(503) 643-4016,4.4 / 5,"Great food! I highly recommend the Surf Side: shrimp, calamari and scallops. We actually arrived 30 minutes early and they were able to seat us. For birthday's they send you a $30 certificate to your e-mail if you sign up online. The birthday boy/girl (man/woman) gets free ice cream and a photo to take home. A fun experience!",8/16/12,http://www.pickgrapevine.com/wantmore2/benihana-beaverton,benihana-beaverton
Flatbread Community Oven - Bend,http://www.opentable.com/flatbread-community-oven-bend?scpref=110&tab=2,4.5,"375 SW Powerhouse Drive STE 130 Bend, OR  97702",8,Pizzeria,$30 and under,Bend,http://www.flatbreadpizza.com,bend@flatbreadpizza.com,(541) 728-0600,4.5 / 5,We spent 3 weeks in Italy and this is the only restaurant in Bend that makes authentic Italian pizza. Great thin crust and not overloaded with ingredients. It is one of our favorite spots in Bend. Outdoor seating in summer and a nice warm and cozy atmosphere in the winter with fireplace. All ingredients very fresh.,7/28/12,http://www.pickgrapevine.com/wantmore2/flatbread-community-oven-bend,flatbread-community-oven-bend
Cassidy's Restaurant & Bar,http://www.opentable.com/cassidys-restaurant-and-bar?scpref=110&tab=2,4.5,"1331 SW Washington St. Portland, OR  97205 ",8,American,$30 and under,Downtown,http://www.cassidysrestaurant.com,bix@cassidysrestaurant.com,(503) 223-0054,4.5 / 5,Great bartenders the chef if amazing. I travel for work and this is one of my favorite places on the West Coast now,7/26/12,http://www.pickgrapevine.com/wantmore2/cassidys-restaurant-and-bar,cassidys-restaurant-and-bar
The Boulevard Grill,http://www.opentable.com/the-boulevard-grill?scpref=110&tab=2,3.8,"2123 Franklin Blvd Eugene, OR  97403 ",16,Steakhouse,$30 and under,Eugene,http://www.theboulevardeugene.com,BLVDcatering@inncline.com,(541) 686-2020,3.8 / 5,"Very disappointing food. Two of us had the prime rib, and both meals seemed ""warmed-up"" via microwave, and not freshly sliced prime rib. (Also both were supposed to be cooked medium, but both were served well done""). The third guest had the fish and chips and liked them. Generally, the price of the meals are too expensive for the quality of food served.",8/3/12,http://www.pickgrapevine.com/wantmore2/the-boulevard-grill,the-boulevard-grill
Henry's 12th Street Tavern,http://www.opentable.com/henrys-12th-street-tavern?scpref=110&tab=2,4,"10 NW 12th Avenue Portland, OR  97209 ",136,American,$30 and under,Pearl District,http://www.henrystavern.com/page/home,bmcconnell@r-u-i.com,(503) 227-5320,4.0 / 5,"Food was good, polite staff but they weren‰Ûªt very attentive. When we were seated they were very helpful but after ordering we didn‰Ûªt see our waitress but once. Whenn we were done and asking for to go containers to getting our check and paying took 45 minutes which kind of put a damper on a nice evening for my sons 21st birthday. The ohter thing is they need much better high chairs, a small strap across their legs just above the knee doen't work very well to contain a toddler.",8/15/12,http://www.pickgrapevine.com/wantmore2/henrys-12th-street-tavern,henrys-12th-street-tavern
The Vintage Room at The Reserve Golf Course,http://www.opentable.com/the-vintage-room-at-the-reserve-golf-course?scpref=110&tab=2,4,"4805 SW 229th Ave Aloha, OR  97007 ",18,Northwest,$30 and under,Beaverton,http://www.reservegolf.com/public/restaurant/,brad.flores@reservegolf.com,(503) 848-2986,4.0 / 5,We sat outside this visit and the view was fantastic!! The food was not quite as good as usual but it was still a great dining experience......,8/5/12,http://www.pickgrapevine.com/wantmore2/the-vintage-room-at-the-reserve-golf-course,the-vintage-room-at-the-reserve-golf-course
Roots Restaurant and Bar,http://www.opentable.com/roots-restaurant-and-bar?scpref=110&tab=2,4.1,"19215 SE 34th St Suite 110 Camas, WA  98607 ",30,Northwest,$30 and under,"Vancouver, WA",http://www.rootsrestaurantandbar.com,brad@rootsrestaurantandbar.com,(360) 260-3001,4.1 / 5,"We had not been to Roots in over a year since our last visit was disappointing. However, this time the filet mignon was excellent and although as other reviews mentioned the prices can be a little high, I don't mind paying that if the steak is done properly. The service was also noteworthy. I would definitely recommend it again to friends.",7/15/12,http://www.pickgrapevine.com/wantmore2/roots-restaurant-and-bar,roots-restaurant-and-bar
The Brickhouse - Redmond,http://www.opentable.com/the-brickhouse-redmond?scpref=110&tab=2,4.1,"412 SW 6th St Redmond, OR  97756 ",18,Steakhouse,$30 and under,Bend,http://www.brickhouseco.com,brickhouse@bendbroadband.com,(541) 526-1782,4.1 / 5,Great meal- quality meat and satisfying portions. The service was welcoming and thoughtful. We thoroughly enjoyed our meal.,7/25/12,http://www.pickgrapevine.com/wantmore2/the-brickhouse-redmond,the-brickhouse-redmond
Paragon - Portland,http://www.opentable.com/paragon?scpref=110&tab=2,4.1,"1309  NW Hoyt Street Portland, OR  97209 ",56,Comfort Food,$30 and under,Downtown,http://www.paragonrestaurant.com/portland.html,bryan@paragonrestaurant.com,(503) 833-5060,4.1 / 5,Although the food was good the menu was lacking.Paragon was a disapointent the second time around.,8/13/12,http://www.pickgrapevine.com/wantmore2/paragon,paragon
Stanford's - Jantzen Beach,http://www.opentable.com/stanfords-jantzen-beach?scpref=110&tab=2,3.8,"1440 N Jantzen Beach Ctr Portland, OR  97217 ",19,American,$30 and under,Hayden Island,http://www.stanfords.com/,cadams@r-u-i.com,(503) 285-2005,3.8 / 5,We left because service was very slow. Perhaps it was too busy for the amount of help available for a hot Wednesday night. Stanford's is usually a nice place to go.,8/15/12,http://www.pickgrapevine.com/wantmore2/stanfords-jantzen-beach,stanfords-jantzen-beach
Chart House Restaurant - Portland,http://www.opentable.com/chart-house-restaurant-portland?scpref=110&tab=2,4.2,"5700 SW Terwilliger Portland, OR  97239 ",337,Seafood,$31 to $50,Downtown,http://www.chart-house.com,chpo@ldry.com,(503) 246-6963,4.2 / 5,Best spinach salad in town. Very nice seafood,8/15/12,http://www.pickgrapevine.com/wantmore2/chart-house-restaurant-portland,chart-house-restaurant-portland
a Cena Ristorante,http://www.opentable.com/a-cena-ristorante?scpref=110&tab=2,4.6,"7742 SE 13th Avenue Portland, OR  97202 ",153,Italian,$30 and under,Southeast Portland,http://www.acenapdx.com,chris@acenapdx.com,(503) 206-3291,4.6 / 5,Amazing service and wine list. Cute little neighborhood with lots of bars and restaurants. Cena is definitely worth checking out. My wife recommends the lemoncellotini ;-).,8/18/12,http://www.pickgrapevine.com/wantmore2/a-cena-ristorante,a-cena-ristorante
The Joel Palmer House,http://www.opentable.com/the-joel-palmer-house?scpref=110&tab=2,4.6,"600 Ferry St Dayton, OR  97114 ",111,Northwest,$50 and over,Willamette Valley/Wine Country,http://www.joelpalmerhouse.com,chris@joelpalmerhouse.com,(503) 864-2995,4.6 / 5,"One of the best dining experiences we've ever had. It was our anniversary dinner, and we were treated like royalty. Very friendly staff. Loved every minute of it. No negatives at all. Very ingenious food, brilliantly prepared. Kudos!",8/16/12,http://www.pickgrapevine.com/wantmore2/the-joel-palmer-house,the-joel-palmer-house
Morton's The Steakhouse - Portland,http://www.opentable.com/mortons-the-steakhouse-portland?scpref=110&tab=2,4.4,"213 SW Clay Street Portland, OR  97201 ",128,Steak,$50 and over,Downtown,http://www.mortons.com/portland,cm.mpo@mortons.com,(503) 248-2100,4.4 / 5,Great spot for a upscale birthday celebration- no singing but they take a souvenir photo (like on a cruise) and provide a complimentary dessert. Service was great and the jumbo shrimp were the best my husband has ever had. Thanks for a memorable celebration!,8/16/12,http://www.pickgrapevine.com/wantmore2/mortons-the-steakhouse-portland,mortons-the-steakhouse-portland
Salty's on the Columbia,http://www.opentable.com/saltys-on-the-columbia?scpref=110&tab=2,4.3,"3839 NE Marine Dr. Portland, OR  97211 ",331,Seafood,$31 to $50,North Portland,http://www.saltys.com/columbia,columbia@saltys.com,(503) 288-4444,4.3 / 5,An important Family Special Event From the momment we walked through the door we were treated that way.The view is impressive,8/17/12,http://www.pickgrapevine.com/wantmore2/saltys-on-the-columbia,saltys-on-the-columbia
Brix Tavern,http://www.opentable.com/brix-tavern?scpref=110&tab=2,3.6,"1338 NW Hoyt St Portland, OR  97209 ",109,Comfort Food,$30 and under,Pearl District,http://www.brixtavern.com,customerservice@brixtavern.com,(503) 943-5995,3.6 / 5,"It was ok. We had made reservations for a group of about 20-30 for a party. The process of making reservations and working with Annette was good. However, they don't have air conditioning and we were there on one of the hottest days of summer. It was very warm in there. The service was slow. I only tried two items and found the food to be ok but not great.",8/15/12,http://www.pickgrapevine.com/wantmore2/brix-tavern,brix-tavern
Sweetwaters on the River,http://www.opentable.com/sweetwaters-on-the-river?scpref=110&tab=2,3.9,"1000 Valley River Way Eugene, OR  97402 ",51,Northwest,$31 to $50,Eugene,http://www.valleyriverinn.com/sweetwaters/,cworrell@valleyriverinn.com,(541) 743-1000,3.9 / 5,Great setting outdoors. Enjoyable wine and salad. Meat overcooked and not enjoyed. Hold your sever to your request if the kitchen fumbles it!,8/10/12,http://www.pickgrapevine.com/wantmore2/sweetwaters-on-the-river,sweetwaters-on-the-river
DaVinci Ristorante & Wine Bar,http://www.opentable.com/davinci-ristorante-and-wine-bar?scpref=110&tab=2,4.3,"180 High Street SE Salem, OR  50728 ",44,Italian,$30 and under,Salem,http://www.davincisofsalem.com,Davinci_ristorante1@msn.com,(503) 399-1413,4.3 / 5,"My wife and I went there for our anniversary. As always, we were treated as though they did not have anyone else but us to worry about. The menu was sharp and the wine discussion with our server was just what we needed. The food was excellent and we ended up sharing each other's plate. Dessert was suggested and well done. Afterwards, we went downstairs and just hung out in the wine bar with some Port and Scotch. The service here too was excellent. Great place to eat!",7/30/12,http://www.pickgrapevine.com/wantmore2/davinci-ristorante-and-wine-bar,davinci-ristorante-and-wine-bar
The Lodge Restaurant at Black Butte Ranch,http://www.opentable.com/the-lodge-restaurant-at-black-butte-ranch?scpref=110&tab=2,4.4,"12930 Hawks Beard Black Butte Ranch, OR  97759 ",40,Northwest,$30 and under,Black Butte Ranch,http://www.blackbutteranch.com,dining@blackbutteranch.com,(541) 595-1260,4.3 / 5,"We have had some excellent meals at the Lodge Restaurant (we are owners at BBR, and have eaten there many times), but this was not one of them. My wife and daughter shared the pork tenderloin, and neither of them liked it. They also each had a cup of the special soup, and, again, were not impressed. I had a special, pasta with lobster mushrooms, which was really poor--I couldn't finish it. The tomato/mozzarella salad was excellent; we had good wines by the glass. Service was fine. My daughter had to sit with sun in her face.",8/15/12,http://www.pickgrapevine.com/wantmore2/the-lodge-restaurant-at-black-butte-ranch,the-lodge-restaurant-at-black-butte-ranch
Lapellah Restaurant,http://www.opentable.com/lapellah-restaurant?scpref=110&tab=2,4.2,"2520 Columbia House Blvd. Suite 108 Vancouver, WA  98661",67,American,$30 and under,"Vancouver, WA",http://www.lapellah.com,dmork@lapellah.com,(360) 828-7911,4.2 / 5,Service was great as usual. We ordered off the happy hour menu this time and it was an incredible value with normal size plates. Not smaller sizes as some places. The Friday night bar and happy hour is crowded but they do an exceptional job of getting people seated. Happy hour is at all seats not just the bar.,8/18/12,http://www.pickgrapevine.com/wantmore2/lapellah-restaurant,lapellah-restaurant
DOC,http://www.opentable.com/doc?scpref=110&tab=2,4.4,"5519 NE 30th Ave Portland, OR  97211 ",82,Italian,$31 to $50,Downtown Portland - NE,http://docpdx.com,doc@docpdx.com,(503) 946-8592,4.4 / 5,Food was amazing for the multi-course tasting option. Server was a little curt and when speaking would trail off so that made it a little difficult to understand her.,8/17/12,http://www.pickgrapevine.com/wantmore2/doc,doc
The Phoenix Restaurant,http://www.opentable.com/the-phoenix-restaurant?scpref=110&tab=2,4.4,"594 NE Bellevue Drive Bend, OR  97701 ",5,American,$30 and under,Bend,http://www.thephoenix.biz,eat@thephoenix.biz,(541) 317-0727,4.4 / 5,We were staying in Bend for a concert and thought The Phoenix would be a good restaurant to hit up on our way. The wait staff was very attentive and friendly and the food was delicious. We ordered off the 3 course menu and got quite a bit of food. My husband had the salmon piccata and I had the fish and chips. They brought us fresh baked bread and we would definitely when vacationing in Bend again.,5/26/12,http://www.pickgrapevine.com/wantmore2/the-phoenix-restaurant,the-phoenix-restaurant
Amuse Restaurant,http://www.opentable.com/amuse-restaurant?scpref=110&tab=2,4.3,"15 North First Street Ashland, OR  97520 ",119,French,$31 to $50,Ashland,http://www.amuserestaurant.com,enjamuse@mind.net,(541) 488-9000,4.3 / 5,This is our favorite restaurant in Ashland - we always make sure to reserve well in advance when we attend the Shakespeare Festival each year. Dining at Amuse is one of the highlights of our visit.,8/17/12,http://www.pickgrapevine.com/wantmore2/amuse-restaurant,amuse-restaurant
del INTI Restaurant,http://www.opentable.com/del-inti-restaurant?scpref=110&tab=2,4.3,"2315 NE Alberta St Portland, OR  97211 ",32,Peruvian,$30 and under,Northeast Portland,http://www.delinti.com,erin@delinti.com,(503) 288-8191,4.3 / 5,good visual presentations of delicious food choicesdo not look for a mango daiquiryquick service and friendly waiters,8/15/12,http://www.pickgrapevine.com/wantmore2/del-inti-restaurant,del-inti-restaurant
Paulee,http://www.opentable.com/paulee?scpref=110&tab=2,4.5,"1410 N Hwy 99W #102 Dundee, OR  97115",67,Northwest,$30 and under,Dundee,http://www.pauleerestaurant.com,events@pauleerestaurant.com,(503) 538-7970,4.5 / 5,"There are two rooms in this restaurant. I had made reservations several weeks prior, and initially was put in front room. This room has no ambience. The other room has an open kitchen and fireplace and much better ambience. I was able to change rooms although with reluctance. (turns out were several empty tables during entire time). So I recomend asking for inner room.",8/10/12,http://www.pickgrapevine.com/wantmore2/paulee,paulee
Cabezon Restaurant and Fish Market,http://www.opentable.com/cabezon-restaurant-and-fish-market?scpref=110&tab=2,4.3,"5200 NE Sacramento Portland, OR  97213 ",76,Seafood,$30 and under,Downtown Portland - NE,http://www.cabezonrestaurant.com/,farrelli68@hotmail.com,(503) 284-6617,4.3 / 5,"Interesting and varied menu consisting of small, medium, and large plates. Delicious preparations. A real treat.",8/11/12,http://www.pickgrapevine.com/wantmore2/cabezon-restaurant-and-fish-market,cabezon-restaurant-and-fish-market
McCormick's Fish House - Beaverton,http://www.opentable.com/mccormicks-fish-house-beaverton?scpref=110&tab=2,4,"9945 SW Beaverton-Hillsdale Beaverton, OR  97005 ",62,Seafood,$31 to $50,Beaverton,http://www.McCormicksFishhouse.com,fhbe@ldry.com,(503) 643-1322,4.0 / 5,The food does not justify the prices..,8/17/12,http://www.pickgrapevine.com/wantmore2/mccormicks-fish-house-beaverton,mccormicks-fish-house-beaverton
Fivespice Seafood & Wine Bar,http://www.opentable.com/fivespice-seafood-and-wine-bar?scpref=110&tab=2,3.9,"315 First Street Suite 201 Lake Oswego, OR  97034",138,Seafood,$30 and under,Lake Oswego,http://www.fivespicerestaurant.com/,fivespice.restaurant@gmail.com,(503) 697-8889,3.9 / 5,"This is a very good seafood restaurant, but quite noisy. My husband and I opted to sit outside which turned out to make the evening a wonderful time for us. We were then able to truly enjoy the delicious food and our time together.",8/17/12,http://www.pickgrapevine.com/wantmore2/fivespice-seafood-and-wine-bar,fivespice-seafood-and-wine-bar
Fratelli Ristorante & Bar,http://www.opentable.com/fratelli-ristorante-and-bar?scpref=110&tab=2,4.2,"1230 NW Hoyt Street Portland, OR  97209 ",70,Italian,$30 and under,Pearl District,http://fratelliportland.com,fratelli@fratelliportland.com,(503) 241-8800,4.2 / 5,"We had a very enjoyable dinner, great waiter.",8/18/12,http://www.pickgrapevine.com/wantmore2/fratelli-ristorante-and-bar,fratelli-ristorante-and-bar
Gilda's Italian Restaurant,http://www.opentable.com/gildas-italian-restaurant?scpref=110&tab=2,4.4,"1601 SW Morrison St Portland, OR  97205 ",81,Italian,$30 and under,Downtown Portland - SW,http://www.gildasitalianrestaurant.com,gildasitalianrestaurant@gmail.com,(503) 224-0051,4.4 / 5,"I'd never known of Gilda's until we had a gift certificate given us. The place is very romantic, the paintings envelope one in the encircled restaurant, the food is divine. Homemade pasta and cannol made the Sicilian way with ricotta. Definitely a great find.We'll be back.",8/7/12,http://www.pickgrapevine.com/wantmore2/gildas-italian-restaurant,gildas-italian-restaurant
Zeppo Italian Restaurant,http://www.opentable.com/zeppo-italian-restaurant?scpref=110&tab=2,4,"345 1st St #105 Lake Oswego, OR  97034 ",95,Italian,$30 and under,Lake Oswego,http://zepporestaurant.com,goodfood@zepporestaurant.com,(503) 675-2726,4.0 / 5,"Based on quality alone the wines are overpriced. Other local restaurants have better wines, larger pours, and a better variety during happy hour.",8/18/12,http://www.pickgrapevine.com/wantmore2/zeppo-italian-restaurant,zeppo-italian-restaurant
Greg's Grill,http://www.opentable.com/gregs-grill?scpref=110&tab=2,4.2,"395 SW Powerhouse Drive Bend, OR  97702 ",72,Contemporary American,$30 and under,Bend,http://www.gregsgrill.com,groupsatgregs@rdcamerica.com,(541) 382-2200,4.2 / 5,"Being from out of town, we wanted to end our trip to Bend with a nice dinner out. We picked the right place. Making online reservations was easy and allowed us to be seated right away even during the dinner rush. All of the staff & servers were friendly & professional. The setting was beautiful - river view while the sun was setting. Food was delicious - lots of appetizers and specials to choose from. So happy we saved room for dessert! It was a great way to end our vacation and we'll be back next time we visit Bend.",8/13/12,http://www.pickgrapevine.com/wantmore2/gregs-grill,gregs-grill
The Heathman Restaurant,http://www.opentable.com/the-heathman-restaurant?scpref=110&tab=2,4.3,"1001 SW Broadway Portland, OR  97205 ",198,French,$30 and under,Downtown,http://www.heathmanrestaurantandbar.com,heat@ldry.com,(503) 790-7752,4.3 / 5,It was very enjoyable. I particularly liked that it was quiet. I could converse with my party very easily.,8/10/12,http://www.pickgrapevine.com/wantmore2/the-heathman-restaurant,the-heathman-restaurant
Natural Selection,http://www.opentable.com/natural-selection?scpref=110&tab=2,4.6,"3033 NE Alberta Portland, OR  97211 ",163,Vegetarian,$30 and under,Downtown Portland - NE,http://www.naturalselectionpdx.com,hello@naturalselectionpdx.com,(503) 288-5883,4.6 / 5,"Everything about Natural Selection was excellent except one thing: the temperature inside the restaurant. It was a rare, hot summer night in Portland and the restaurant was stifling. It nearly ruined our meal. I'm not saying I won't go back, but I will be careful of the weather. Otherwise, I would highly recommend this restaurant to vegetarians looking for something different and folks who are into food.",8/9/12,http://www.pickgrapevine.com/wantmore2/natural-selection,natural-selection
Hola! Sunriver,http://www.opentable.com/hola-sunriver?scpref=110&tab=2,3.9,"17430 Deschutes Rd Sunriver, OR  97707 ",13,Mexican,$30 and under,Bend,http://www.holabend.com,holaeventcatering@gmail.com,(541) 593-8880,3.9 / 5,Food was outstanding as was the service ! Bravo,7/22/12,http://www.pickgrapevine.com/wantmore2/hola-sunriver,hola-sunriver
Huber's Restaurant,http://www.opentable.com/hubers-restaurant?scpref=110&tab=2,4.2,"411 SW 3rd Portland, OR  97204 ",95,American,$30 and under,Downtown Portland - SW,http://www.hubers.com,hubers1879@gmail.com,(503) 228-5686,4.2 / 5,"The food was adequate, but overpriced for what it was. The cheesecake had a plastic quality, like what I'd find in a chain restaurant, which was hardly what I was looking for when I chose a Portland landmark.",8/15/12,http://www.pickgrapevine.com/wantmore2/hubers-restaurant,hubers-restaurant
900 Wall,http://www.opentable.com/900-wall?scpref=110&tab=2,4,"900 NW Wall Street Bend, OR  97701 ",54,Contemporary American,$30 and under,Bend,http://www.900wall.com,info@900wall.com,(541) 323-6295,4.0 / 5,Great location. Food/wine was amazing.,8/11/12,http://www.pickgrapevine.com/wantmore2/900-wall,900-wall
Accanto,http://www.opentable.com/accanto-portland?scpref=110&tab=2,4.2,"2838 SE Belmont St Portland, OR  97214 ",215,Italian,$30 and under,Southeast Portland,http://www.accantopdx.com/,info@accantopdx.com,(503) 235-4900,4.2 / 5,Great service and excellent food!,8/14/12,http://www.pickgrapevine.com/wantmore2/accanto-portland,accanto-portland
Andina,http://www.opentable.com/andina?scpref=110&tab=2,4.5,"1314 NW Glisan Portland, OR  97209 ",634,Peruvian,$31 to $50,Pearl District,http://www.andinarestaurant.com,info@andinarestaurant.com,(503) 228-9535 x4,4.5 / 5,"Absolutely superb service and excellent food. The noise level was a bit high, and the restaurant was quite busy - I don't know that I'd recommend this for a romantic meal, but I do highly recommend it for the high quality and inventive food and the incredible service. Without a doubt I'd be happy to go again.",8/17/12,http://www.pickgrapevine.com/wantmore2/andina,andina
Aviary,http://www.opentable.com/aviary?scpref=110&tab=2,4.2,"1733 NE Alberta St Portland, OR  97211 ",202,French,$30 and under,Downtown Portland - NE,http://www.aviarypdx.com,info@aviarypdx.com,(503) 287-2400,4.2 / 5,"Aviary didn't dissapoint. My wife and I recently went there for our 10th anniversary, and the food and service were top-notch. If you like asian, french, and northwest cuisine, you'll find a lot to like at Aviary. The chefs are playful and creative, and we had numerous ""mouthgasms"" at this restaurant. The only real negative, which didn't bother us, is that the place is a bit loud. But we were tucked away in a relatively quiet corner and it didn't impact us much. And while the plates aren't very large, it does give you an opportunity to sample a number of dishes (they offered to split the soup for us -- which was a nice touch). Great spot on Alberta!",8/10/12,http://www.pickgrapevine.com/wantmore2/aviary,aviary
Beaker & Flask,http://www.opentable.com/beaker-and-flask?scpref=110&tab=2,4.2,"727 SE Washington Street Portland, OR  97214 ",65,Contemporary American,$30 and under,Southeast Portland,http://www.BeakerAndFlask.com,info@BeakerAndFlask.com,(503) 235-8180,4.2 / 5,Great birthday dinner! Loved the mussels/clams pork belly entree! Yum drinks.,8/16/12,http://www.pickgrapevine.com/wantmore2/beaker-and-flask,beaker-and-flask
